
---------- TRIAL1.TXT
Warning amf_mm -0.196592398427261  hyd0:45.78  hyd1: 45.6947916666667
Warning isl_mm -0.0540102619497705  hyd0:37.03  hyd1: 37.0135416666667
Warning min_mm -0.106837606837607  hyd0:46.8  hyd1: 46.7510416666667
Warning hpd_qj 0.132216835610401  hyd0:45.38  hyd1: 45.4416598887798
Warning hpd_mm 1.70550084073985  hyd0:41.63  hyd1: 42.3420238095238
Warning sbeo_qj 0.149281582384773  hyd0:53.59  hyd1: 53.6739583333333
Warning umso_qd -0.483091787439614  hyd0:2.07  hyd1: 2.06333333333333
Warning wld_mm -0.329308452250274  hyd0:45.55  hyd1: 45.4025
Warning epto_qd -0.13284623048821  hyd0:30.11  hyd1: 30.0729166666667
Warning uny_mm -0.0674612098043625  hyd0:44.47  hyd1: 44.4385416666667
Warning alto_qj -0.291545189504373  hyd0:13.72  hyd1: 13.6770833333333
Warning uny_qd 0.308166409861325  hyd0:19.47  hyd1: 19.53125
Warning beno_qd 0.0531339721838995  hyd0:1072.76  hyd1: 1073.33333333333
Warning acao_qd -0.130208333333333  hyd0:7.68  hyd1: 7.67083333333333
Warning wmjo_qj 1.33333333333333  hyd0:0.75  hyd1: 0.760833333333334
Warning csro_qj 0.480769230769231  hyd0:18.72  hyd1: 18.80625
Warning gcco_qd 0.259067357512953  hyd0:7.72  hyd1: 7.73541666666667
Warning gilo_qd -0.0893255917820455  hyd0:22.39  hyd1: 22.375
Warning jcco_qd 0.496277915632754  hyd0:12.09  hyd1: 12.15
Warning sflo_qd 0.397614314115308  hyd0:30.18  hyd1: 30.3020833333333
Warning jcjo_wz -7.51693375185858  hyd0:60.53  hyd1: 55.9816883116883
Warning wbco_wz -0.107047279214987  hyd0:56.05  hyd1: 55.9940625
Warning sqso_qd -0.0506842372022301  hyd0:19.73  hyd1: 19.71875
Warning tumo_qd -0.482406356413167  hyd0:35.24  hyd1: 35.0729166666667
Warning wbco_mm -0.0696985537550096  hyd0:57.39  hyd1: 57.3471875
Warning waro_mm -0.0999000999000999  hyd0:50.05  hyd1: 49.9979166666667
Warning wcgo_qd 2.27272727272727  hyd0:0.44  hyd1: 0.445625
Warning waro_pc -0.170357751277683  hyd0:5.87  hyd1: 5.86
Warning ocho_mm 0.0979240109674892  hyd0:51.06  hyd1: 51.1141666666667
