cbtt,inl_id,inel_element,hydromet_pcode,,,,,,
ABEI,ABE,t2,ob,,,,,,
ABEI,ABE,rh,tu,,,,,,
ABEI,ABE,bp,bp,,,,,,
ABEI,ABE,sr,si,,,,,,
ABEI,ABE,sr2,si2,,,,,,
ABEI,ABE,r,pi,,,,,,
ABEI,ABE,ams,ws,,,,,,
ABEI,ABE,amg,wg,,,,,,
ABEI,ABE,amd,wd,,,,,,
ABEI,ABE,sd2,wds,,,,,,
ABEI,ABE,st2,za,,,,,,
ABEI,ABE,st4,sw,,,,,,
ABEI,ABE,st8,sv,,,,,,
ABEI,ABE,st20,zb,,,,,,
ABEI,ABE,st40,zc,,,,,,
RRCI,ARC,ws,ws,,,,,,
RRCI,ARC,wg,wg,,,,,,
RRCI,ARC,wd,wd,,,,,,
RRCI,ARC,sd,wds,,,,,,
RRCI,ARC,t2,ob,,,,,,
RRCI,ARC,rh,tu,,,,,,
RRCI,ARC,sr,si,,,,,,
RRCI,ARC,r,pi,,,,,,
ACKI,BLK,ws,ws,,,,,,
ACKI,BLK,wg,wg,,,,,,
ACKI,BLK,wd,wd,,,,,,
ACKI,BLK,sd,wds,,,,,,
ACKI,BLK,t2,ob,,,,,,
ACKI,BLK,rh,tu,,,,,,
ACKI,BLK,bp,bp,,,,,,
ACKI,BLK,sr,si,,,,,,
ACKI,BLK,r,pi,,,,,,
HAMI,HAM,ws,ws,,,,,,
HAMI,HAM,wg,wg,,,,,,
HAMI,HAM,wd,wd,,,,,,
HAMI,HAM,sd,wds,,,,,,
HAMI,HAM,t2,ob,,,,,,
HAMI,HAM,rh,tu,,,,,,
HAMI,HAM,sr,si,,,,,,
HAMI,HAM,r,pi,,,,,,
OWEI,HOW,ws,ws,,,,,,
OWEI,HOW,wg,wg,,,,,,
OWEI,HOW,wd,wd,,,,,,
OWEI,HOW,sd,wds,,,,,,
OWEI,HOW,t2,ob,,,,,,
OWEI,HOW,rh,tu,,,,,,
OWEI,HOW,sr,si,,,,,,
OWEI,HOW,r,pi,,,,,,
IFAI,IDA,ws,ws,,,,,,
IFAI,IDA,wg,wg,,,,,,
IFAI,IDA,wd,wd,,,,,,
IFAI,IDA,sd,wds,,,,,,
IFAI,IDA,t2,ob,,,,,,
IFAI,IDA,rh,tu,,,,,,
IFAI,IDA,bp,bp,,,,,,
IFAI,IDA,sr,si,,,,,,
IFAI,IDA,r,pi,,,,,,
KTBI,KET,t2,ob,,,,,,
KTBI,KET,rh,tu,,,,,,
KTBI,KET,bp,bp,,,,,,
KTBI,KET,sr,si,,,,,,
KTBI,KET,r,pi,,,,,,
KTBI,KET,ams,ws,,,,,,
KTBI,KET,amg,wg,,,,,,
KTBI,KET,amd,wd,,,,,,
KTBI,KET,sd2,wds,,,,,,
MDKI,MIN,ws,ws,,,,,,
MDKI,MIN,wg,wg,,,,,,
MDKI,MIN,wd,wd,,,,,,
MDKI,MIN,sd,wds,,,,,,
MDKI,MIN,t2,ob,,,,,,
MDKI,MIN,rh,tu,,,,,,
MDKI,MIN,bp,bp,,,,,,
MDKI,MIN,sr,si,,,,,,
MDKI,MIN,r,pi,,,,,,
MNTI,MON,t2,ob,,,,,,
MNTI,MON,rh,tu,,,,,,
MNTI,MON,bp,bp,,,,,,
MNTI,MON,sr,si,,,,,,
MNTI,MON,r,pi,,,,,,
MNTI,MON,ams,ws,,,,,,
MNTI,MON,amg,wg,,,,,,
MNTI,MON,amd,wd,,,,,,
MNTI,MON,sd2,wds,,,,,,
ICHI,RIC,ws,ws,,,,,,
ICHI,RIC,wg,wg,,,,,,
ICHI,RIC,wd,wd,,,,,,
ICHI,RIC,sd,wds,,,,,,
ICHI,RIC,t2,ob,,,,,,
ICHI,RIC,rh,tu,,,,,,
ICHI,RIC,bp,bp,,,,,,
ICHI,RIC,sr,si,,,,,,
ICHI,RIC,r,pi,,,,,,
ROBI,ROB,ws,ws,,,,,,
ROBI,ROB,wg,wg,,,,,,
ROBI,ROB,wd,wd,,,,,,
ROBI,ROB,sd,wds,,,,,,
ROBI,ROB,t2,ob,,,,,,
ROBI,ROB,rh,tu,,,,,,
ROBI,ROB,sr,si,,,,,,
ROBI,ROB,r,pi,,,,,,
SUGI,SUG,ws,ws,,,,,,
SUGI,SUG,wg,wg,,,,,,
SUGI,SUG,wd,wd,,,,,,
SUGI,SUG,sd,wds,,,,,,
SUGI,SUG,t2,ob,,,,,,
SUGI,SUG,rh,tu,,,,,,
SUGI,SUG,bp,bp,,,,,,
SUGI,SUG,sr,si,,,,,,
SUGI,SUG,r,pi,,,,,,
TABI,TAB,ws,ws,,,,,,
TABI,TAB,wg,wg,,,,,,
TABI,TAB,wd,wd,,,,,,
TABI,TAB,sd,wds,,,,,,
TABI,TAB,t2,ob,,,,,,
TABI,TAB,rh,tu,,,,,,
TABI,TAB,sr,si,,,,,,
TABI,TAB,r,pi,,,,,,
TERI,TER,ws,ws,,,,,,
TERI,TER,wg,wg,,,,,,
TERI,TER,wd,wd,,,,,,
TERI,TER,sd,wds,,,,,,
TERI,TER,t2,ob,,,,,,
TERI,TER,rh,tu,,,,,,
TERI,TER,sr,si,,,,,,
TERI,TER,bp,bp,,,,,,
TERI,TER,r,pi,,,,,,
EBRI,EBR,rh,tu,,,,,,
EBRI,EBR,bp,bp,,,,,,
EBRI,EBR,sr,si,,,,,,
EBRI,EBR,r,pi,,,,,,
EBRI,EBR,spd.s2,ws,,,,,,
EBRI,EBR,dir.d2,wd,,,,,,
EBRI,EBR,gust.g2,wg,,,,,,
EBRI,EBR,t2,ob,,,,,,
IGRI,GRI,rh,tu,,,,,,
IGRI,GRI,bp,bp,,,,,,
IGRI,GRI,sr,si,,,,,,
IGRI,GRI,r,pi,,,,,,
IGRI,GRI,spd.s2,ws,,,,,,
IGRI,GRI,dir.d2,wd,,,,,,
IGRI,GRI,gust.g2,wg,,,,,,
IGRI,GRI,t2,ob,,,,,,
LOFI,LOF,rh,tu,,,,,,
LOFI,LOF,bp,bp,,,,,,
LOFI,LOF,sr,si,,,,,,
LOFI,LOF,r,pi,,,,,,
LOFI,LOF,spd.s2,ws,,,,,,
LOFI,LOF,dir.d2,wd,,,,,,
LOFI,LOF,gust.g2,wg,,,,,,
LOFI,LOF,t2,ob,,,,,,
