interval,url,cbtt,pcode,offset,header1,header2,header3,header4,header5
#hourly,http://www.nwd-wc.usace.army.mil/ftppub/project_data/hourly/hgh_h.dat,HGHM,Q,,Outflow,(kcfs),,,
hourly,http://www.nwd-wc.usace.army.mil/ftppub/project_data/hourly/gcl_h.dat,GCL,FB,,Forebay,(ft),,,
hourly,http://www.nwd-wc.usace.army.mil/ftppub/project_data/hourly/gcl_h.dat,GCL,TW,,Tailwatr,(ft),,,
hourly,http://www.nwd-wc.usace.army.mil/ftppub/project_data/hourly/gcl_h.dat,GCL,QE,,Generatn,Flow,(kcfs),,
hourly,http://www.nwd-wc.usace.army.mil/ftppub/project_data/hourly/gcl_h.dat,GCL,Q,,Outflow,(kcfs),,,
hourly,http://www.nwd-wc.usace.army.mil/ftppub/project_data/hourly/gcl_h.dat,GCL,QW,,Spill,(kcfs),,,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/alf_d.dat,ALF,ID,,Average,Inflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/alf_d.dat,ALF,QD,,Average,Outflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/alf_d.dat,ALF,FB,,Midnight,Forebay,(ft),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/alf_d.dat,HOPI,FB,,Midnight,Hope,Lake,Elevatn,(ft)
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/chj_d.dat,CHJ,FB,,Midnight,Forebay,(ft),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/chj_d.dat,CHJ,ID,,Average,Inflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/chj_d.dat,CHJ,QD,,Average,Outflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/dwr_d.dat,DWR,AF,,Average,Storage,(kaf),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/dwr_d.dat,DWR,FB,,Midnight,Forebay,(ft),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/dwr_d.dat,DWR,ID,,Average,Inflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/dwr_d.dat,DWR,QD,,Average,Outflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/gcl_d.dat,GCL,FB,,Midnight,Forebay,(ft),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/gcl_d.dat,GCL,ID,,Average,Inflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/gcl_d.dat,GCL,QD,,Average,Outflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/gcl_d.dat,GCL,QS,,Average,Spill,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/gcl_d.dat,GCL,QV,,Generatn,Flow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/gcl_d.dat,GCL,TD,,Average,Tailwatr,(ft),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/gcl_d.dat,BNK,FB,1500,Banks,Lake,Elevatio,n (ft),
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/gcl_d.dat,BNK,QP,,Banks,Lake,Pumping,Flow,(kcfs)
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/lib_d.dat,LIB,FB,,Midnight,Forebay,(ft),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/lib_d.dat,LIB,ID,,Average,Inflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/lib_d.dat,LIB,QD,,Average,Outflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/lwg_d.dat,LWG,FB,,Midnight,Forebay,(ft),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/lwg_d.dat,LWG,ID,,Average,Inflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/lwg_d.dat,LWG,QD,,Average,Outflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/mcn_d.dat,MCN,FB,,Midnight,Forebay,(ft),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/mcn_d.dat,MCN,ID,,Average,Inflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/mcn_d.dat,MCN,QD,,Average,Outflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/prd_d.dat,PRD,FB,,Midnight,Forebay,(ft),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/prd_d.dat,PRD,ID,,Average,Inflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/prd_d.dat,PRD,QD,,Average,Outflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/los_d.dat,LOS,AF,,Midnight,Storage,(kaf),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/los_d.dat,LOS,FB,,Midnight,Forebay,(ft),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/los_d.dat,LOS,ID,,Average,Inflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/los_d.dat,LOS,QD,,Average,Outflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/doty_d.dat,APP,AF,,Applgate,Storage,(kaf),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/doty_d.dat,APP,FB,,Applgate,Forebay,(ft),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/doty_d.dat,APP,ID,,Applgate,Inflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/doty_d.dat,APP,QD,,Applgate,Outflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/doty_d.dat,HGH,QS,,Hungry,Horse,Spill,(kcfs),
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/doty_d.dat,HGH,QV,,Hungry,Horse,Generatn,Flow,(kcfs)
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/doty_d.dat,HGH,VT,,Hungry,Horse,Station,Service,(MW)
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/doty_d.dat,KER,AF,,Kerr,Storage,(kaf),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/doty_d.dat,KER,FB,,Kerr,Forebay,(ft),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/doty_d.dat,KERM,ID,,Kerr,Inflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/doty_d.dat,KERM,QD,,Kerr,Outflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/doty_d.dat,DCDB,AF,,Duncan,Storage,(kaf),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/tda_d.dat,TDA,FB,,Midnight,Forebay,(ft),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/tda_d.dat,TDA,ID,,Average,Inflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/tda_d.dat,TDA,QD,,Average,Outflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/bon_d.dat,BON,FB,,Midnight,Forebay,(ft),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/bon_d.dat,BON,ID,,Average,Inflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/bon_d.dat,BON,QD,,Average,Outflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/jda_d.dat,JDA,FB,,Midnight,Forebay,(ft),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/jda_d.dat,JDA,ID,,Average,Inflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/jda_d.dat,JDA,QD,,Average,Outflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/ihr_d.dat,IHR,ID,,Average,Inflow,(kcfs),,
daily,http://www.nwd-wc.usace.army.mil/ftppub/project_data/daily/ihr_d.dat,IHR,QD,,Average,Outflow,(kcfs),,
