Year,X1,X2,X3,X4,Y1
1950,54.32,89.53,283.1,14.46,802.16
1951,77.97,91.27,278.96,20.46,916.36
1952,70.81,113.66,337.2,16.78,1023.22
1953,54.1,77.69,253.1,34.17,705.11
1954,55.68,75.94,276.8,21.5,680.5
1955,46.47,47.71,188.3,32.44,467
1956,86.26,111.59,346.3,28.33,1070.39
1957,70.24,91.77,261.6,29.42,788.72
1958,60.88,86.55,295.5,41.18,863.6
1959,63.55,73.81,207.3,19.06,515.09
1960,62.29,73.1,175,13.36,546.61
1961,46.2,64.4,180.9,11.44,355.55
1962,49.6,82.99,247.9,22.72,662.69
1963,53.39,63.14,154.6,41.83,581.35
1964,54.63,74.84,219.4,22.42,563.97
1965,96.06,112.38,363.4,30.8,1217.61
1966,66.4,50.65,190.4,8.65,452.14
1967,44.1,68.52,241.2,27.95,675.04
1968,56.12,62.03,159.9,14.15,422.29
1969,70.5,95.94,310.1,16.77,916.03
1970,52.96,90.13,246.6,28.96,692.5
1971,76.5,120.89,354.4,19.89,1173.77
1972,71.07,107.83,321.3,19.04,1001.39
1973,68.22,61.09,179.7,15.49,440.12
1974,69.07,107.81,364.7,10.01,1099.19
1975,59.29,91.21,293.5,19.92,844.32
1976,74.93,82.01,249.5,17.18,691.22
1977,53.9,17.85,51.4,24.03,206.3
1978,53.79,95.76,261.9,23.24,760.11
1979,51.55,47.62,169.5,13.27,399.68
1980,45.89,80.91,260.2,25.41,722.58
1981,57.82,59.53,137.5,24.66,478.91
1982,68.14,123.74,324.9,17.01,1089.96
1983,81.2,112.69,320.7,21.05,1178.89
1984,84.64,100.85,236.7,28.05,972.55
1985,75.9,66.57,210.3,12.86,550.23
1986,65.94,98.04,287.1,22.14,976.6
1987,63.94,41.71,115.7,14.69,316.8
1988,41.09,53.79,155.4,20.91,354
1989,43.62,96.78,243.6,10.13,575.36
1990,43.73,50.27,135.3,38.47,374.66
1991,37.01,46.61,139.8,25.95,318.93
1992,39.82,47.06,111.4,19.76,230.16
1993,34.16,94.35,240,37.33,679.82
1994,44.07,41.9,119,17.57,275.73
1995,36.8,87.35,266.4,40.36,843.33
1996,75.5,96.65,257.6,31.77,937.56
1997,77.96,124.66,340.6,22.36,1217.21
1998,64.32,72.09,190.9,48.71,753.38
1999,63.39,85.97,269.1,17.99,786.54
2000,57.28,79.07,202.6,16.85,518.3
2001,42.57,51.83,98.4,12.18,264.44
2002,39.87,77.35,203,11.54,468.61
2003,44.67,68.98,198.7,23.4,517.91
2004,42.43,69.86,174.7,23.2,408.35
2005,45.79,46.1,136,35.5,420.77
2006,51.32,107.27,286.9,25.46,947.11
2007,59.78,60.69,139.9,11.28,377.95
2008,50.97,82.64,228.8,11.95,547.94
2009,51.51,66.27,193.9,35.04,579.38
2010,56.01,73.17,153.2,33.61,517.4
