ANDERSON FORECAST                                                                                                 
  5  5 63                 1 11950    1    1     980                                                               
ANDERSON                                                                                                          
    54.31    89.53   283.10    14.46   802.14                                                                 1950
    77.97    91.27   278.96    20.46   916.36                                                                 1951
    70.81   113.66   337.20    16.78  1023.22                                                                 1952
    54.10    77.69   253.10    34.17   705.11                                                                 1953
    55.68    75.94   276.80    21.50   680.50                                                                 1954
    46.47    47.71   188.30    32.44   467.00                                                                 1955
    86.26   111.59   346.30    28.33  1070.39                                                                 1956
    70.24    91.77   261.60    29.42   788.72                                                                 1957
    60.88    86.55   295.50    41.18   863.60                                                                 1958
    63.55    73.81   207.30    19.06   515.09                                                                 1959
    62.29    73.10   175.00    13.36   546.61                                                                 1960
    46.20    64.40   180.90    11.44   355.55                                                                 1961
    49.60    82.99   247.90    22.72   662.68                                                                 1962
    53.39    63.14   154.60    41.83   581.35                                                                 1963
    54.63    74.84   219.40    22.42   563.97                                                                 1964
    96.06   112.38   363.40    30.80  1217.61                                                                 1965
    66.40    50.65   190.40     8.65   452.14                                                                 1966
    44.10    68.52   241.20    27.95   675.04                                                                 1967
    56.12    62.03   159.90    14.15   422.29                                                                 1968
    70.50    95.94   310.10    16.77   916.03                                                                 1969
    52.96    90.13   246.60    28.96   692.50                                                                 1970
    76.50   120.89   354.40    19.89  1173.77                                                                 1971
    71.07   107.83   321.30    19.04  1001.39                                                                 1972
    68.22    61.09   179.70    15.49   440.12                                                                 1973
    69.07   107.81   364.70    10.01  1099.19                                                                 1974
    59.29    91.21   293.50    19.92   844.32                                                                 1975
    74.93    82.01   249.50    17.18   691.22                                                                 1976
    53.90    17.85    51.40    24.03   206.30                                                                 1977
    53.79    95.76   261.90    23.24   760.11                                                                 1978
    51.55    47.62   169.50    13.27   399.68                                                                 1979
    45.89    80.91   260.20    25.41   722.58                                                                 1980
    57.82    59.53   137.50    24.66   478.91                                                                 1981
    68.14   123.74   324.90    17.01  1089.96                                                                 1982
    81.20   112.69   320.70    21.05  1178.87                                                                 1983
    84.64   100.85   236.70    28.05   972.46                                                                 1984
    75.90    66.57   210.30    12.86   550.26                                                                 1985
    66.33    98.04   287.10    22.14   976.60                                                                 1986
    63.94    41.71   115.70    14.69   316.80                                                                 1987
    41.40    53.79   155.40    20.91   354.00                                                                 1988
    43.66    96.78   243.60    10.13   575.36                                                                 1989
    43.73    50.27   135.30    38.47   374.65                                                                 1990
    37.01    46.61   139.80    25.95   318.92                                                                 1991
    40.08    47.06   110.80    19.76   230.16                                                                 1992
    33.51    94.35   240.00    37.07   679.83                                                                 1993
    44.28    41.90   119.00    17.50   275.74                                                                 1994
    36.80    87.21   266.40    38.89   843.34                                                                 1995
    75.50    96.65   257.60    31.77   937.54                                                                 1996
    77.96   124.66   340.60    22.05  1217.21                                                                 1997
    64.32    72.09   190.90    48.71   753.38                                                                 1998
    63.39    89.89   269.10    17.99   786.54                                                                 1999
    57.28    79.07   202.60    16.85   517.91                                                                 2000
    42.57    51.47    98.40    12.06   264.44                                                                 2001
    39.87    77.35   203.00    11.43   468.64                                                                 2002
    44.67    68.98   198.70    23.40   517.82                                                                 2003
    42.43    69.86   174.70    23.20   408.34                                                                 2004
    45.79    45.74   136.00    35.48   420.76                                                                 2005
    51.32   107.27   286.90    25.46   947.10                                                                 2006
    59.78    60.69   139.90    11.28   377.97                                                                 2007
    50.97    82.64   228.80    11.95   547.94                                                                 2008
    51.51    66.27   193.90    35.04   579.39                                                                 2009
    55.86    73.17   153.20    33.61   513.68                                                                 2010
    60.23    90.74   224.20    32.46   779.47                                                                 2011
    62.69    92.17   227.30    16.86   751.69                                                                 2012
BAKER FORECAST                                                                                                    
  5  5 66                 1 11947    1    1     351                                                               
BAKER                                                                                                             
     8.41    68.00    44.90    13.35    70.56                                                                 1947
     6.43    78.36    81.40    23.02    93.41                                                                 1948
     4.29    74.03    95.10    11.18    86.71                                                                 1949
     4.52    72.87   106.55     8.76    76.92                                                                 1950
     7.42    72.33   101.50     9.28    93.39                                                                 1951
     4.53    88.32   119.80    15.60   102.66                                                                 1952
     1.76    66.72   110.50    22.54   110.04                                                                 1953
     6.11    55.28    74.40    11.48    57.31                                                                 1954
     2.44    46.49    81.30    10.67    37.87                                                                 1955
     9.97   105.69   103.10    18.30   128.29                                                                 1956
