           DAILY VALUES SUMMATION          PROCESS DATE: 30-OCT-17

 Station name        HEII               Begin and end year  1980-2017
 Parameter code      QU                 Begin and end date  OCT  1-SEP 30
 Option              VOL

          BY YEAR                RANKED
 ------------------------  ------------------
 YEAR     SUMMATION  MISS  YEAR     SUMMATION

 1980    2492765.75     0  1997    4337095.00
 1981    2015498.88     0  2017    4014805.50
 1982    3476842.50     0  1986    3803148.75
 1983    3302666.75     0  2011    3762849.50
 1984    3403299.25     0  1996    3509419.75
 1985    2477455.75     0  1982    3476842.50
 1986    3803148.75     0  1984    3403299.25
 1987    1965546.75     0  1983    3302666.75
 1988    1815541.88     0  1999    3178769.50
 1989    2446580.50     0  1998    3026169.50
 1990    1959759.25     0  2009    2925645.75
 1991    2211411.75     0  2014    2874434.25
 1992    1537009.25     0  1995    2801290.75
 1993    2549192.25     0  2008    2683651.25
 1994    1737128.63     0  2006    2649485.50
 1995    2801290.75     0  1993    2549192.25
 1996    3509419.75     0  1980    2492765.75
 1997    4337095.00     0  1985    2477455.75
 1998    3026169.50     0  2012    2452838.50
 1999    3178769.50     0  1989    2446580.50
 2000    2218846.50     0  2015    2279292.75
 2001    1509093.63     0  2000    2218846.50
 2002    1843215.13     0  1991    2211411.75
 2003    1986507.13     0  2005    2159936.25
 2004    1945595.25     0  2010    2106788.00
 2005    2159936.25     0  2016    2072556.38
 2006    2649485.50     0  1981    2015498.88
 2007    1770343.13     0  2003    1986507.13
 2008    2683651.25     0  1987    1965546.75
 2009    2925645.75     0  1990    1959759.25
 2010    2106788.00     0  2004    1945595.25
 2011    3762849.50     0  2013    1913560.50
 2012    2452838.50     0  2002    1843215.13
 2013    1913560.50     0  1988    1815541.88
 2014    2874434.25     0  2007    1770343.13
 2015    2279292.75     0  1994    1737128.63
 2016    2072556.38     0  1992    1537009.25
 2017    4014805.50     0  2001    1509093.63

 Average of  38 years:             2558317.00
