Time,MB1_Hw_FlowMeter,MB1_Hw_FlowCalc,MB1_MillerHill_FlowPump1,MB1_MillerHill_FlowPump2,MB1_MillerHill_FlowPump3
4/4/2014 18:00,44,57,0,0,0
4/4/2014 18:30,54,60,0,0,0
4/4/2014 19:00,54,60,0,0,0
4/4/2014 19:30,52,60,0,0,0
4/4/2014 20:00,54,60,0,0,0
4/4/2014 20:30,51,60,0,0,0
4/4/2014 21:00,53,60,0,0,0
4/4/2014 21:30,59,60,0,0,0
4/4/2014 22:00,56,60,0,0,0
4/4/2014 22:30,56,59,0,0,0
4/4/2014 23:00,61,59,0,0,0
4/4/2014 23:30,62,60,0,0,0
4/5/2014 0:00,52,60,0,0,0
4/5/2014 0:30,48,59,0,0,0
4/5/2014 1:00,54,59,0,0,0
4/5/2014 1:30,56,59,0,0,0
4/5/2014 2:00,51,59,0,0,0
4/5/2014 2:30,55,59,0,0,0
4/5/2014 3:00,55,59,0,0,0
4/5/2014 3:30,55,59,0,0,0
4/5/2014 4:00,55,59,0,0,0
4/5/2014 4:30,55,59,0,0,0
4/5/2014 5:00,55,59,0,0,0
4/5/2014 5:30,55,59,0,0,0
4/5/2014 6:00,55,59,0,0,0
4/5/2014 6:30,55,59,0,0,0
4/5/2014 7:00,55,59,0,0,0
4/5/2014 7:30,55,59,0,0,0
4/5/2014 8:00,55,59,0,0,0
4/5/2014 8:30,55,59,0,0,0
4/5/2014 9:00,55,59,0,0,0
4/5/2014 9:30,55,59,0,0,0
4/5/2014 10:00,55,59,0,0,0
4/5/2014 10:30,55,59,0,0,0
4/5/2014 11:00,55,59,0,0,0
4/5/2014 11:30,55,59,0,0,0
4/5/2014 12:00,55,59,0,0,0
4/5/2014 12:30,55,59,0,0,0
4/5/2014 13:00,55,59,0,0,0
4/5/2014 13:30,55,59,0,0,0
4/5/2014 14:00,55,59,0,0,0
4/5/2014 14:30,55,59,0,0,0
4/5/2014 15:00,55,59,0,0,0
4/5/2014 15:30,55,59,0,0,0
4/5/2014 16:00,55,59,0,0,0
4/5/2014 16:30,55,59,0,0,0
4/5/2014 17:00,55,59,0,0,0
4/5/2014 17:30,55,59,0,0,0
4/5/2014 18:00,55,59,0,0,0
4/5/2014 18:30,55,59,0,0,0
4/5/2014 19:00,55,59,0,0,0
4/5/2014 19:30,55,59,0,0,0
4/5/2014 20:00,55,59,0,0,0
4/5/2014 20:30,55,59,0,0,0
4/5/2014 21:00,55,59,0,0,0
4/5/2014 21:30,55,59,0,0,0
4/5/2014 22:00,55,59,0,0,0
4/5/2014 22:30,55,59,0,0,0
4/5/2014 23:00,55,59,0,0,0
4/5/2014 23:30,55,59,0,0,0
4/6/2014 0:00,55,59,0,0,0
4/6/2014 0:30,55,59,0,0,0
4/6/2014 1:00,55,59,0,0,0
4/6/2014 1:30,55,59,0,0,0
4/6/2014 2:00,55,59,0,0,0
4/6/2014 2:30,55,59,0,0,0
4/6/2014 3:00,55,59,0,0,0
4/6/2014 3:30,55,59,0,0,0
4/6/2014 4:00,55,59,0,0,0
4/6/2014 4:30,55,59,0,0,0
4/6/2014 5:00,55,59,0,0,0
4/6/2014 5:30,55,59,0,0,0
4/6/2014 6:00,55,59,0,0,0
4/6/2014 6:30,55,59,0,0,0
4/6/2014 7:00,55,59,0,0,0
4/6/2014 7:30,55,59,0,0,0
4/6/2014 8:00,55,59,0,0,0
4/6/2014 8:30,55,59,0,0,0
4/6/2014 9:00,55,59,0,0,0
4/6/2014 9:30,55,59,0,0,0
4/6/2014 10:00,55,59,0,0,0
4/6/2014 10:30,55,59,0,0,0
4/6/2014 11:00,55,59,0,0,0
4/6/2014 11:30,55,59,0,0,0
4/6/2014 12:00,55,59,0,0,0
4/6/2014 12:30,55,59,0,0,0
4/6/2014 13:00,55,59,0,0,0
4/6/2014 13:30,55,59,0,0,0
4/6/2014 14:00,55,59,0,0,0
4/6/2014 14:30,55,59,0,0,0
4/6/2014 15:00,55,59,0,0,0
4/6/2014 15:30,55,59,0,0,0
4/6/2014 16:00,55,59,0,0,0
4/6/2014 16:30,55,59,0,0,0
4/6/2014 17:00,55,59,0,0,0
4/6/2014 17:30,55,59,0,0,0
4/6/2014 18:00,55,59,0,0,0
4/6/2014 18:30,55,59,0,0,0
4/6/2014 19:00,55,59,0,0,0
4/6/2014 19:30,55,59,0,0,0
4/6/2014 20:00,55,59,0,0,0
4/6/2014 20:30,55,59,0,0,0
4/6/2014 21:00,55,59,0,0,0
4/6/2014 21:30,55,59,0,0,0
4/6/2014 22:00,55,59,0,0,0
4/6/2014 22:30,55,59,0,0,0
4/6/2014 23:00,55,59,0,0,0
4/6/2014 23:30,55,59,0,0,0
4/7/2014 0:00,55,59,0,0,0
4/7/2014 0:30,55,59,0,0,0
4/7/2014 1:00,55,59,0,0,0
4/7/2014 1:30,55,59,0,0,0
4/7/2014 2:00,55,59,0,0,0
4/7/2014 2:30,55,59,0,0,0
4/7/2014 3:00,55,59,0,0,0
4/7/2014 3:30,55,59,0,0,0
4/7/2014 4:00,55,59,0,0,0
