sitenumber,interval,"ipc_code",cbtt,pcode,id,name,,,,
13289702,daily,Qin,brn,id,,Brownlee inflow (daily),,,,
13289702,daily,HW,brn,fb,,Brownlee forebay (midnight),,,,
1321919001,instant,Qx,mhro,q,,"Malheur River nr Namorf, OR  - flow",,,,
1321919001,instant,Sx,mhro,gh,,"Malheur River nr Namorf, OR -- guage height",,,,
1322700001,instant,Qx,bulo,q,,"Bully Creek near Vale, OR  - flow",,,,
1322100001,instant,Qx,mavo,q,,"MALHUER RIVER AT VINES CANYON NEAR VALE, OR - flow",,,,
1322100001,instant,Sx,mavo,gh,,"MALHUER RIVER AT VINES CANYON NEAR VALE, OR - guage height",,,,
13087505,instant,,MHPI,Q,18943, Milner Power Plant,,,,
13088000,instant,,MILI,QT,18941,Total Combined Flow MILI Q + MHPI QE + MHPI QZ,,,,
13087505,daily,,MHPI,QD,18942, Milner Power Plant,,,,
13088000,daily,,MILI,QT,18940,Total Combined Flow MILI Q + MHPI QE + MHPI QZ,,,,
