interval,site_id,usgs_parameter,cbtt,pcode
instant,13174500,GageHeight,WLDN,gh
instant,13174500,Discharge,WLDN,q

instant,13057155,Discharge,SIFI,q
instant,13057155,GageHeight,SIFI,gh
instant,13162225,GageHeight,JBGN,gh
instant,13162225,Discharge,JBGN,q
instant,13168500,GageHeight,HOTI,gh
instant,13168500,Discharge,HOTI,q
instant,13168500,WaterTemp,HOTI,wf
instant,13068495,Discharge,BBYI,q
instant,13068495,GageHeight,BBYI,gh
instant,13057155,Discharge,SIFI,q
instant,13057155,GageHeight,SIFI,gh
instant,12414500,Discharge,CLDI,q
instant,12414500,GageHeight,CLDI,gh
instant,12411000,Discharge,PRCI,q
instant,12411000,GageHeight,PRCI,gh

