id,seriesid,name,value
1,97,t1,1/1/2010
2,97,t2,5/8/2017
3,97,count,2685
4,98,t1,1/1/2010
5,98,t2,5/8/2017
6,98,count,2685
7,99,t1,1/1/2010
8,99,t2,5/8/2017
9,99,count,2685
10,100,t1,1/1/2010
11,100,t2,5/8/2017
12,100,count,2685
13,101,t1,1/1/2010
14,101,t2,5/8/2017
15,101,count,2685
16,102,t1,1/1/2010
17,102,t2,5/8/2017
18,102,count,2685
19,103,t1,1/1/2010
20,103,t2,5/8/2017
21,103,count,2685
22,104,t1,1/1/2010
23,104,t2,5/8/2017
24,104,count,2685
25,105,t1,1/1/2010
26,105,t2,5/8/2017
27,105,count,2685
28,106,t1,1/1/2010
29,106,t2,5/8/2017
30,106,count,2685
31,107,t1,1/1/2010
32,107,t2,5/8/2017
33,107,count,2685
34,108,t1,1/1/2010
35,108,t2,5/8/2017
36,108,count,2685
37,109,t1,1/1/2010
38,109,t2,5/8/2017
39,109,count,2685
40,110,t1,1/1/2010
41,110,t2,5/8/2017
42,110,count,2685
43,111,t1,1/1/2010
44,111,t2,5/8/2017
45,111,count,2685
46,112,t1,1/1/2010
47,112,t2,5/8/2017
48,112,count,2685
49,113,t1,1/1/2010
50,113,t2,5/8/2017
51,113,count,2685
52,114,t1,1/1/2010
53,114,t2,5/8/2017
54,114,count,2685
55,115,t1,1/1/2010
56,115,t2,5/8/2017
57,115,count,2685
58,116,t1,3/20/2017
59,116,t2,5/8/2017
60,116,count,50
61,117,t1,1/1/2010
62,117,t2,5/8/2017
63,117,count,2685
64,118,t1,1/1/2010
65,118,t2,5/8/2017
66,118,count,2685
67,119,t1,1/1/2010
68,119,t2,5/8/2017
69,119,count,2685
70,120,t1,1/1/2010
71,120,t2,5/8/2017
72,120,count,2685
73,121,t1,1/1/2010
74,121,t2,5/8/2017
75,121,count,2685
76,122,t1,1/1/2010
77,122,t2,5/8/2017
78,122,count,2685
79,123,t1,1/1/2010
80,123,t2,5/8/2017
81,123,count,2685
82,124,t1,1/1/2010
83,124,t2,5/8/2017
84,124,count,2685
85,125,t1,1/1/2010
86,125,t2,5/8/2017
87,125,count,2685
88,126,t1,1/1/2010
89,126,t2,5/8/2017
90,126,count,2685
91,127,t1,1/1/2010
92,127,t2,5/8/2017
93,127,count,2685
94,128,t1,1/1/2010
95,128,t2,5/8/2017
96,128,count,2685
103,131,t1,1/1/2010
104,131,t2,5/8/2017
105,131,count,2685
106,132,t1,1/1/2010
107,132,t2,5/8/2017
108,132,count,2685
109,133,t1,1/1/2010
110,133,t2,5/8/2017
111,133,count,2685
112,134,t1,1/1/2010
113,134,t2,5/8/2017
114,134,count,2685
115,135,t1,1/1/2010
116,135,t2,5/8/2017
117,135,count,2685
118,136,t1,1/1/2010
119,136,t2,5/8/2017
120,136,count,2685
121,137,t1,1/1/2010
122,137,t2,5/8/2017
123,137,count,2685
124,138,t1,1/1/2010
125,138,t2,5/8/2017
126,138,count,2685
127,139,t1,1/1/2010
128,139,t2,5/8/2017
129,139,count,2685
130,140,t1,1/1/2010
131,140,t2,5/8/2017
132,140,count,2685
133,141,t1,1/1/2010
134,141,t2,5/8/2017
135,141,count,2685
136,142,t1,1/1/2010
137,142,t2,5/8/2017
138,142,count,2685
139,143,t1,1/1/2010
140,143,t2,5/8/2017
141,143,count,2685
142,144,t1,1/1/2010
143,144,t2,5/8/2017
144,144,count,2685
145,145,t1,1/1/2010
146,145,t2,5/8/2017
147,145,count,2685
148,146,t1,1/1/2010
149,146,t2,5/8/2017
150,146,count,2685
151,147,t1,1/1/2010
152,147,t2,5/8/2017
153,147,count,2685
154,148,t1,1/1/2010
155,148,t2,5/8/2017
156,148,count,2685
157,149,t1,1/1/2010
158,149,t2,5/8/2017
159,149,count,2685
160,150,t1,1/1/2010
161,150,t2,5/8/2017
162,150,count,2685
163,151,t1,1/1/2010
164,151,t2,5/8/2017
165,151,count,2685
166,152,t1,1/1/2010
167,152,t2,5/8/2017
168,152,count,2685
169,153,t1,1/1/2010
170,153,t2,5/8/2017
171,153,count,2685
172,154,t1,1/1/2010
173,154,t2,5/8/2017
174,154,count,2685
175,155,t1,1/1/2010
176,155,t2,5/8/2017
177,155,count,2685
178,156,t1,1/1/2010
179,156,t2,5/8/2017
180,156,count,2685
181,157,t1,1/1/2010
182,157,t2,5/8/2017
183,157,count,2685
