siteid,description,state,latitude,longitude,elevation,timezone,install,horizontal_datum,vertical_datum,vertical_accuracy,elevation_method,tz_offset,active_flag,type,responsibility,agency_region
abei,Aberdeen; Idaho Weather Station,ID,42.953333,-112.82667,1341,US/Mountain,3/20/1991,,m,0,agrimet_map,,,agrimet,noaa,PN
abiquiureservoir,ABIQUIU RESERVOIR,NM,36.2545,-106.4518,6250,US/Mountain,,,,0,,,,reservoir,,UC
acki,INL - Blackfoot;  Idaho  Weather Station,ID,43.18985,-112.3332,1377.696,US/Mountain,,,m,0,agrimet_map,,,agrimet,noaa,PN
adamstunnelatnrestespark,ALVA B. ADAMS TUNNEL AT EAST PORTAL NEAR ESTES PARK,CO,40.3278,-105.5775,,US/Mountain,,,,0,,,,diversion,,UC
adatunco,ALVA B ADAMS TUNNEL @ E PORTAL NR ESTES PARK; CO,CO,40.32778,-105.5775,,,,,,0,,,,diversion,,GP
adawplco,ADAMS TUNNEL; WEST PORTAL; COLORADO,CO,40.24167,-105.80222,,,,,,0,,,,diversion,,GP
adne,AKERS DRAW DIVERSION INTO TRI-STATE CANAL; NEBRASKA,NE,41.975,-103.89166,,,,,,0,,,,diversion,,GP
afty,Afton; Wyoming AgriMet Weather Station,WY,42.73333,-110.93583,1892.81,US/Mountain,11/1/1980,,m,0,agrimet_map,,,agrimet,pnro,PN
agko,Agency Lake Ranch; Oregon AgriMet Weather Station,OR,42.56527,-121.9825,1264.92,US/Pacific,5/3/2000,,m,0,agrimet_map,,,agrimet,pnro,PN
agr,ANGOSTURA RESERVOIR (CHEYENNE RIVER BLW DAM); SD,SD,43.34333,-103.43833,,,,,,0,,,,reservoir,DKAO,GP
aguacanyonswe,AGUA CANYON,UT,37.52,-112.2712,8900,US/Mountain,,,,0,,,,snotel,,UC
ahshislepahwashnearkimbeto,AH-SHI-SLE-PAH WASH NEAR KIMBETO ;NM,NM,36.1503,-107.9464,6180,US/Mountain,,,,0,,,,stream,,UC
ahti,Ashton; Idaho AgriMet Weather Station,ID,44.025,-111.46666,1615.44,US/Mountain,6/1/1987,,m,0,agrimet_map,,,agrimet,pnro,PN
aine,LAKE ALICE RESERVOIR INFLOW; NEBRASKA,NE,41.99805,-103.63278,,,,,,0,,,,canal,,GP
alamoreservoir,Alamo Reservoir,AZ,34.2314,-113.6014,1100,US/Mountain,,,,0,,,,reservoir,,LC
alcr,ALCOVA RESERVOIR; WYOMING,WY,42.54889,-106.72056,,,,,,0,,,,reservoir,ECAO,GP
alfalfablfruitgrowers,ALFALFA RUN BL FRUITGROWERS; Deliveries,CO,38.8267,-107.9553,5650,US/Mountain,,,,0,,,,canal,,UC
alfalfaditchabovefruitgrowersreservoir,ALFALFA DITCH ABOVE FRUIT GROWERS RESERVOIR NEAR ECKERT,CO,38.8547,-107.9292,5500,US/Mountain,,,,0,,,,diversion,,UC
alfvalmt,ALFALFA VALLEY CANAL DIVERSION; MONTANA,MT,48.61028,-109.24416,,,,,,0,,,,canal,,GP
alks,ALMENA DIVERSION; KANSAS,KS,39.86611,-99.74722,,,,,,0,,,,diversion,,GP
allamericancanalnearimperialdam,All-American Canal near Imperial Dam,CA,32.8714,-114.4797,174.46,US/Pacific,,,,0,,,,diversion,,LC
alpy,Snake River above Reservoir near Alpine; WY,WY,43.19627073,-110.8895682,5684,US/Mountain,00:00.0,13022500,ft,0,Bill_KML,,,stream,usgs/pnro,PN
altus,ALTUS DAM; OKLAHOMA,OK,34.8875,-99.29639,,,,,,0,,,,reservoir,OTAO,GP
americancanalatelpaso,AMERICAN CANAL AT EL PASO,TX,31.7669,-106.525,3727,US/Mountain,,,,0,,,,canal,,UC
amf,American Falls Reservoir at American Falls; ID,ID,42.77916,-112.87917,4370,US/Mountain,00:00.0,,ft,0,cma_google,,,reservoir,pnro,PN
