,0,1000000,1200000,1400000,1600000,1800000,2000000,2200000,2500000,2800000,3680000,9999000
1-Jan,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000
15-Jan,218000,218000,227500,237000,270000,306500,343000,405000,487000,552000,603000,603000
1-Feb,185000,185000,204500,224000,289000,362500,436000,560000,723000,853000,956000,956000
15-Feb,156000,156000,184500,213000,307000,413500,520000,700000,936000,1125000,1275000,1275000
1-Mar,127000,127000,164000,201000,324000,464000,604000,840000,1149000,1397000,1593000,1593000
15-Mar,95000,95000,141500,188000,344000,520500,697000,995000,1386000,1699000,1946000,1946000
1-Apr,63000,63000,119000,175000,363000,576500,790000,1150000,1622000,2000000,2299000,2299000
15-Apr,31000,31000,97000,163000,381000,630500,880000,1300000,1800000,2100000,2641000,2641000
1-May,0,0,75000,150000,400000,685000,970000,1318000,1818000,2118000,2982000,2982000
2-May,0,0,0,0,0,0,0,0,0,0,0,0
31-Oct,0,0,0,0,0,0,0,0,0,0,0,0
1-Nov,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1-Dec,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
31-Dec,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000
