Date,Space
1/1/2011 0:00,19794.44444
1/2/2011 0:00,19588.88889
1/3/2011 0:00,19383.33333
1/4/2011 0:00,19177.77778
1/5/2011 0:00,18972.22222
1/6/2011 0:00,18766.66667
1/7/2011 0:00,18561.11111
1/8/2011 0:00,18355.55556
1/9/2011 0:00,18150
1/10/2011 0:00,17944.44444
1/11/2011 0:00,17738.88889
1/12/2011 0:00,17533.33333
1/13/2011 0:00,17327.77778
1/14/2011 0:00,17122.22222
1/15/2011 0:00,16916.66667
1/16/2011 0:00,16711.11111
1/17/2011 0:00,16505.55556
1/18/2011 0:00,16300
1/19/2011 0:00,16094.44444
1/20/2011 0:00,15888.88889
1/21/2011 0:00,15683.33333
1/22/2011 0:00,15477.77778
1/23/2011 0:00,15272.22222
1/24/2011 0:00,15066.66667
1/25/2011 0:00,14861.11111
1/26/2011 0:00,14655.55556
1/27/2011 0:00,14450
1/28/2011 0:00,14244.44444
1/29/2011 0:00,14038.88889
1/30/2011 0:00,13833.33333
1/31/2011 0:00,13627.77778
2/1/2011 0:00,13422.22222
2/2/2011 0:00,13216.66667
2/3/2011 0:00,13011.11111
2/4/2011 0:00,12805.55556
2/5/2011 0:00,12600
2/6/2011 0:00,12394.44444
2/7/2011 0:00,12188.88889
2/8/2011 0:00,11983.33333
2/9/2011 0:00,11777.77778
2/10/2011 0:00,11572.22222
2/11/2011 0:00,11366.66667
2/12/2011 0:00,11161.11111
2/13/2011 0:00,10955.55556
2/14/2011 0:00,10750
2/15/2011 0:00,10544.44444
2/16/2011 0:00,10338.88889
2/17/2011 0:00,10133.33333
2/18/2011 0:00,9927.777778
2/19/2011 0:00,9722.222222
2/20/2011 0:00,9516.666667
2/21/2011 0:00,9311.111111
2/22/2011 0:00,9105.555556
2/23/2011 0:00,8900
2/24/2011 0:00,8694.444444
2/25/2011 0:00,8488.888889
2/26/2011 0:00,8283.333333
2/27/2011 0:00,8077.777778
2/28/2011 0:00,7872.222222
3/1/2011 0:00,7666.666667
3/2/2011 0:00,7461.111111
3/3/2011 0:00,7255.555556
3/4/2011 0:00,7050
3/5/2011 0:00,6844.444444
3/6/2011 0:00,6638.888889
3/7/2011 0:00,6433.333333
3/8/2011 0:00,6227.777778
3/9/2011 0:00,6022.222222
3/10/2011 0:00,5816.666667
3/11/2011 0:00,5611.111111
3/12/2011 0:00,5405.555556
3/13/2011 0:00,5200
3/14/2011 0:00,4994.444444
3/15/2011 0:00,4788.888889
3/16/2011 0:00,4583.333333
3/17/2011 0:00,4377.777778
3/18/2011 0:00,4172.222222
3/19/2011 0:00,3966.666667
