Date,0,10000,20000,30000,40000,50000,60000,70000,80000,90000,100000
1/1/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/2/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/3/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/4/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/5/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/6/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/7/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/8/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/9/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/10/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/11/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/12/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/13/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/14/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/15/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/16/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/17/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/18/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/19/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/20/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/21/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/22/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/23/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/24/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/25/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/26/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/27/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/28/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/29/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/30/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
1/31/2011 0:00,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500,16500
2/1/2011 0:00,0,0,2440.133821,4954.79971,7185.478066,9551.968995,11707.5743,13983.88599,16164.11944,16500,16500
2/2/2011 0:00,0,0,2500.295051,5014.503935,7243.99505,9607.550399,11765.59786,14045.5046,16223.45064,16500,16500
2/3/2011 0:00,0,0,2560.126057,5074.146847,7302.474507,9663.40436,11823.75956,14106.79896,16282.98604,16500,16500
2/4/2011 0:00,0,0,2619.645614,5133.7295,7360.91749,9719.500704,11882.02272,14167.76174,16342.78356,16500,16500
2/5/2011 0:00,0,0,2678.872069,5193.252947,7419.325054,9775.811481,11940.35332,14228.38876,16402.90475,16500,16500
2/6/2011 0:00,0,0,2737.823345,5252.718243,7477.698252,9832.310894,11998.72002,14288.67896,16463.41471,16500,16500
2/7/2011 0:00,0,0,2796.516938,5312.126442,7536.038138,9888.975228,12057.09397,14348.6343,16500,16500,16500
2/8/2011 0:00,0,0,2854.969922,5371.478599,7594.345768,9945.782774,12115.44885,14408.25968,16500,16500,16500
2/9/2011 0:00,0,0,2913.198942,5430.775767,7652.622194,10002.71375,12173.7607,14467.56287,16500,16500,16500
2/10/2011 0:00,0,0,2971.220223,5490.019001,7710.868472,10059.75025,12232.00793,14526.55445,16500,16500,16500
2/11/2011 0:00,0,0,3029.049559,5549.209354,7769.085655,10116.87614,12290.17118,14585.24774,16500,16500,16500
2/12/2011 0:00,0,0,3086.702323,5608.347882,7827.274798,10174.07699,12348.23329,14643.6587,16500,16500,16500
2/13/2011 0:00,0,0,3144.193461,5667.435637,7885.436954,10231.34003,12406.17919,14701.80586,16500,16500,16500
2/14/2011 0:00,0,0,3201.537494,5726.473675,7943.573178,10288.65403,12463.99586,14759.71029,16500,16500,16500
2/15/2011 0:00,0,0,3258.74852,5785.463049,8001.684524,10346.00928,12521.67225,14817.39546,16500,16500,16500
2/16/2011 0:00,0,0,3315.840207,5844.404814,8059.772047,10403.39747,12579.19918,14874.88721,16500,16500,16500
2/17/2011 0:00,0,0,3372.825804,5903.300023,8117.836799,10460.81164,12636.56929,14932.21369,16500,16500,16500
2/18/2011 0:00,0,0,3429.71813,5962.149732,8175.879836,10518.24608,12693.77698,14989.40523,16500,16500,16500
2/19/2011 0:00,0,0,3486.52958,6020.954994,8233.902212,10575.69632,12750.8183,15046.49432,16500,16500,16500
2/20/2011 0:00,0,0,3543.272126,6079.716862,8291.904981,10633.15897,12807.6909,15103.51551,16500,16500,16500
2/21/2011 0:00,0,0,3599.957312,6138.436393,8349.889197,10690.63172,12864.39395,15160.50534,16500,16500,16500
2/22/2011 0:00,0,0,3656.596258,6197.114639,8407.855914,10748.11322,12920.92807,15217.50227,16500,16500,16500
2/23/2011 0:00,0,0,3713.19966,6255.752654,8465.806186,10805.60303,12977.29524,15274.54661,16500,16500,16500
2/24/2011 0:00,0,0,3769.777787,6314.351494,8523.741068,10863.10153,13033.49877,15331.68043,16500,16500,16500
2/25/2011 0:00,0,0,3826.340483,6372.912212,8581.661613,10920.60987,13089.54317,15388.94751,16500,16500,16500
2/26/2011 0:00,0,16.50398293,3882.897169,6431.435862,8639.568877,10978.12988,13145.43412,15446.39325,16500,16500,16500
2/27/2011 0:00,0,76.07989243,3939.456838,6489.923498,8697.463912,11035.66398,13201.17837,15504.0646,16500,16500,16500
2/28/2011 0:00,0,135.4679293,3996.028059,6548.376175,8755.347774,11093.21515,13256.78367,15562.00999,16500,16500,16500
3/1/2011 0:00,0,253.7368381,4109.23731,6665.180868,8871.086192,11208.38278,13367.61308,15678.92355,16500,16500,16500
3/2/2011 0:00,0,312.6448737,4165.890352,6723.534992,8928.942857,11266.0072,13422.85707,15737.9953,16500,16500,16500
3/3/2011 0:00,0,371.4193639,4222.584971,6781.858373,8986.792565,11323.66444,13478.00174,15797.5481,16500,16500,16500
3/4/2011 0:00,0,430.0728277,4279.327611,6840.152065,9044.63637,11381.35903,13533.05878,15857.63668,16500,16500,16500
3/5/2011 0:00,0,488.6173587,4336.124289,6898.417123,9102.475326,11439.09562,13588.04045,15918.31676,16500,16500,16500
3/6/2011 0:00,0,547.0646256,4392.9806,6956.654601,9160.310487,11496.87884,13642.95947,15979.64508,16500,16500,16500
3/7/2011 0:00,0,605.4258719,4449.90171,7014.865553,9218.142908,11554.71331,13697.82902,16041.67921,16500,16500,16500
3/8/2011 0:00,0,663.7119158,4506.892363,7073.051033,9275.973643,11612.6035,13752.66259,16104.47758,16500,16500,16500
3/9/2011 0:00,0,721.9331504,4563.956876,7131.212095,9333.803745,11670.55367,13807.47396,16168.09935,16500,16500,16500
3/10/2011 0:00,0,780.0995438,4621.099141,7189.349793,9391.63427,11728.56782,13862.2771,16232.60433,16500,16500,16500
3/11/2011 0:00,0,838.2206387,4678.322625,7247.465183,9449.46627,11786.64961,13917.08611,16298.05294,16500,16500,16500
3/12/2011 0:00,0,896.3055528,4735.630371,7305.559316,9507.300801,11844.80226,13971.91512,16364.50613,16500,16500,16500
3/13/2011 0:00,0,954.3629786,4793.024996,7363.633249,9565.138916,11903.0285,14026.77827,16432.02528,16500,16500,16500
3/14/2011 0:00,0,1012.401183,4850.50869,7421.688035,9622.981671,11961.33051,14081.68956,16500,16500,16500,16500
3/15/2011 0:00,0,1070.42801,4908.083222,7479.724728,9680.830117,12019.70979,14136.66286,16500,16500,16500,16500
3/16/2011 0:00,0,1128.450874,4965.749932,7537.744383,9738.685311,12078.16716,14191.71177,16500,16500,16500,16500
3/17/2011 0:00,0,1186.476768,5023.509736,7595.748053,9796.548306,12136.70264,14246.84958,16500,16500,16500,16500
3/18/2011 0:00,0,1244.512259,5081.363126,7653.736793,9854.420157,12195.31538,14302.08919,16500,16500,16500,16500
3/19/2011 0:00,0,1302.563489,5139.310168,7711.711657,9912.301917,12254.00359,14357.44303,16500,16500,16500,16500
