Date,0,100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000
1/1/2011 0:00,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000
1/7/2011 0:00,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000
1/8/2011 0:00,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,71538.02974,71538.02974,71538.02974,71538.02974,71538.02974,71538.02974,71538.02974,71538.02974,71538.02974,71538.02974,71538.02974
1/9/2011 0:00,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,94837.03768,94837.03768,94837.03768,94837.03768,94837.03768,94837.03768,94837.03768,94837.03768,94837.03768,94837.03768,94837.03768
1/10/2011 0:00,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,72744.8286,117352.8515,117352.8515,117352.8515,117352.8515,117352.8515,117352.8515,117352.8515,117352.8515,117352.8515,117352.8515,117352.8515
1/11/2011 0:00,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,92456.98738,139125.1315,139125.1315,139125.1315,139125.1315,139125.1315,139125.1315,139125.1315,139125.1315,139125.1315,139125.1315,139125.1315
1/12/2011 0:00,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,111564.7684,160191.2654,160191.2654,160191.2654,160191.2654,160191.2654,160191.2654,160191.2654,160191.2654,160191.2654,160191.2654,160191.2654
1/13/2011 0:00,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,84750.36145,130102.409,180586.4565,180586.4565,180586.4565,180586.4565,180586.4565,180586.4565,180586.4565,180586.4565,180586.4565,180586.4565,180586.4565
1/14/2011 0:00,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,100979.8781,148101.9946,200343.8114,200343.8114,200343.8114,200343.8114,200343.8114,200343.8114,200343.8114,200343.8114,200343.8114,200343.8114,200343.8114
1/15/2011 0:00,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,78211.92238,116778.5537,165593.5454,219494.4246,219494.4246,219494.4246,219494.4246,219494.4246,219494.4246,219494.4246,219494.4246,219494.4246,219494.4246,219494.4246
1/16/2011 0:00,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,92108.45684,132173.9457,182605.1026,238067.4629,238067.4629,238067.4629,238067.4629,238067.4629,238067.4629,238067.4629,238067.4629,238067.4629,238067.4629,238067.4629
1/17/2011 0:00,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,73553.13627,105683.3307,147191.6549,199162.8118,256090.2472,256090.2472,256090.2472,256090.2472,256090.2472,256090.2472,256090.2472,256090.2472,256090.2472,256090.2472,256090.2472
1/18/2011 0:00,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,85576.19055,118960.3165,161855.4092,215291.0057,273588.3328,273588.3328,273588.3328,273588.3328,273588.3328,273588.3328,273588.3328,273588.3328,273588.3328,273588.3328,273588.3328
1/19/2011 0:00,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,97360.88387,131961.327,176187.1469,231012.2842,290585.5885,290585.5885,290585.5885,290585.5885,290585.5885,290585.5885,290585.5885,290585.5885,290585.5885,290585.5885,290585.5885
1/20/2011 0:00,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,79639.96154,108927.9152,144706.4985,190207.0967,246347.5942,307104.2734,307104.2734,307104.2734,307104.2734,307104.2734,307104.2734,307104.2734,307104.2734,307104.2734,307104.2734,307104.2734
1/21/2011 0:00,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,89928.31113,120296.2101,157214.2714,203933.8575,261316.3061,323165.1127,323165.1127,323165.1127,323165.1127,323165.1127,323165.1127,323165.1127,323165.1127,323165.1127,323165.1127,323165.1127
1/22/2011 0:00,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,74189.10628,100058.525,131483.0025,169501.4699,217384.4756,275936.2901,338787.3715,338787.3715,338787.3715,338787.3715,338787.3715,338787.3715,338787.3715,338787.3715,338787.3715,338787.3715,338787.3715
1/23/2011 0:00,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,83119.69311,110047.2107,142503.9137,181583.3794,230574.521,290223.9899,353988.9267,353988.9267,353988.9267,353988.9267,353988.9267,353988.9267,353988.9267,353988.9267,353988.9267,353988.9267,353988.9267
1/24/2011 0:00,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,75232.85559,91935.70319,119909.3575,153373.0304,193473.8231,243518.1612,304194.4954,368786.338,368786.338,368786.338,368786.338,368786.338,368786.338,368786.338,368786.338,368786.338,368786.338,368786.338
1/25/2011 0:00,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,82816.31312,100652.0635,129658.4147,164102.9817,205185.2361,256228.2338,317861.6131,383194.9164,383194.9164,383194.9164,383194.9164,383194.9164,383194.9164,383194.9164,383194.9164,383194.9164,383194.9164,383194.9164
1/26/2011 0:00,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70892.90883,90317.78103,109282.1455,139306.3681,174705.0127,216728.7383,268716.3182,331237.9355,397228.7917,397228.7917,397228.7917,397228.7917,397228.7917,397228.7917,397228.7917,397228.7917,397228.7917,397228.7917,397228.7917
