Date,0,100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000,3100000,3200000,3300000,3400000,3500000,3600000,3700000,3800000,3900000,4000000,4100000,4200000,4300000,4400000,4500000,4600000,4700000,4800000,4900000,5000000
1/1/2011 0:00,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000
1/31/2011 0:00,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000
2/1/2011 0:00,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000
2/2/2011 0:00,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000,282000
2/3/2011 0:00,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000,273000
2/4/2011 0:00,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000,264000
2/5/2011 0:00,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000
2/6/2011 0:00,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000,246000
2/7/2011 0:00,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000,237000
2/8/2011 0:00,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000,228000
