Date,0,10000,20000,30000,40000,50000,60000,70000,80000,90000,100000,110000,120000,130000,140000,150000,160000,170000,180000,190000,200000,210000,220000,230000,240000,250000,260000,270000,280000,290000,300000
1/1/2011,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
2/23/2011,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
2/24/2011,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40928.24881
2/25/2011,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,41947.07359
2/26/2011,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,42965.98489
2/27/2011,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,43984.92672
2/28/2011,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,45003.84307
3/1/2011,37333.33333,37333.33333,37333.33333,37333.33333,37333.33333,37333.33333,37333.33333,37333.33333,37333.33333,37333.33333,37333.33333,37333.33333,37333.33333,37333.33333,37333.33333,37333.33333,37333.33333,37333.33333,37333.33333,37333.33333,37333.33333,37333.33333,37333.33333,37333.33333,37333.33333,37333.33333,37333.33333,37333.33333,37333.33333,41782.39401,47041.37534
3/2/2011,34666.66667,34666.66667,34666.66667,34666.66667,34666.66667,34666.66667,34666.66667,34666.66667,34666.66667,34666.66667,34666.66667,34666.66667,34666.66667,34666.66667,34666.66667,34666.66667,34666.66667,34666.66667,34666.66667,34666.66667,34666.66667,34666.66667,34666.66667,34666.66667,34666.66667,34666.66667,34666.66667,34666.66667,37549.06014,42811.13304,48059.87926
3/3/2011,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,33329.33453,38587.00807,43839.66006,49078.13371
3/4/2011,29333.33333,29333.33333,29333.33333,29333.33333,29333.33333,29333.33333,29333.33333,29333.33333,29333.33333,29333.33333,29333.33333,29333.33333,29333.33333,29333.33333,29333.33333,29333.33333,29333.33333,29333.33333,29333.33333,29333.33333,29333.33333,29333.33333,29333.33333,29333.33333,29333.33333,29333.33333,29333.33333,34375.65863,39624.72548,44867.91909,50096.08268
