RuleCurve,Lines,LabelDates
AMF,"1000000.,2000000.,3000000.,4000000.,5000000., 6000000.,7000000.,8000000.","6/15,5/20,5/5,5/1,4/15, 3/20, 2/15, 1/20"
CSCI,"0.0,500000.,1000000.,1500000.,2000000.,3000000.","4/26,4/26,4/26,4/26,4/26,4/15"
DEDI,"0.0,500000.,1000000.,1500000.,2000000.,3000000.","4/26,4/26,4/26,4/26,4/26,4/26"
HEII,"1000000.,1500000.,2000000.,2500000.,3000000.,3500000.,4000000.,5000000.","6/27,6/20,6/15,6/10,5/25,5/15,5/5,4/10"
HEII.Dashed,"1000000.,1500000.,2000000.,2500000.,3000000.,3400000.","6/27,6/20,6/15,6/10,5/25,5/15,5/5,4/10"
HEII.Solid,"1500000.,2000000.,2500000.,3000000.,3500000.,4000000.,5000000.","6/27,6/20,6/15,6/10,5/25,5/15,5/5,4/10"
HGH,"750000.,1000000.,1150000.,1500000.,1800000.,2000000., 2500000.,3000000.,3500000.,3680000.","4/26,4/7,3/20,3/1,3/10,3/20,4/1,4/10,4/20,4/26"
HRSI,"0.0,500000.,1000000.,1500000.,2000000.,3000000.","4/26,4/26,4/26,4/26,4/26,4/26"
ISLI,"0.0,100000.,150000.,200000.,250000.,275000.,300000.,310000.","7/15,6/15,5/15,4/15,3/15,2/15,1/15,1/15"
JCK,"1500000.,2000000.,2500000.,3000000.,3500000.,4000000.,5000000.","6/20,6/15,6/10,5/25,5/15,5/5,4/15"
LUC,"500000.,1000000.,1500000.,2000000.,2500000.,3000000.","5/15,5/15,5/15,4/14,3/5,1/15"
OCHO,"10000.,20000.,30000.,40000.,50000.,60000.,70000.,80000.","4/26,4/26,4/18,4/12,4/7,3/29,3/15,2/15"
OWY,"0.0,500000.,1000000.,1500000.,2000000.","4/26,4/26,4/26,4/26,4/26"
PARW,"500000.,1000000.,1500000.,2000000.,3000000.,4500000.","6/20,5/20,4/25,4/10,3/5,2/16"
PODO,"40000.,60000.,80000.,100000.,120000.,140000.","6/10,6/10,4/15, 3/15, 2/10, 1/31"
PRVO,"0.,200000,250000.,275000.,300000.,325000.,350000.","4/1,3/20, 3/15, 3/10, 3/5, 3/1, 2/25"
RIR,"0.0,50000.,75000.,100000.,150000.,200000.,250000.,300000.","6/15,6/15,6/10,6/1,5/5,4/22,4/12,4/3"
BUL,"0,25000,35000,75000","4/15,6/15,6/15,6/23"
BEUO,"0,59900","4/15,6/15"
WARO,"0,169600","4/15,6/15"
