GOESDEC,ACTIVE, RTCNAME, S_OFV, S_ONV, S_NV, S_TTMODE, S_RTFV, S_OTC, S_TBV, S_DTFMT, S_DTSIZE, S_BID, S_BIDCNT, R_OFV, R_ONV, R_NV, R_TTMODE, R_RTFV, R_OTC, R_TBV, R_DTFMT, R_DTSIZE, R_BID, R_BIDCNT, EDITDATE, OWNER,                                                                                                                                                                                       
ACAO    GH,1,,4,6,4,R,-15,0,-15,S,3,,0,0,0,0,I,0,0,0,,0,,0,31-OCT-2007 11:12:36.11,KTARBET,                                                                                                                                                                                                                                                                                                                     
ACAO    WF,1,,7,6,4,R,-15,0,-15,S,3,,0,0,0,0,I,0,0,0,,0,,0,31-OCT-2007 11:12:51.61,KTARBET,                                                                                                                                                                                                                                                                                                                     
ADDO    CED,1,,10,24,6,R,-1,0,-10,S,3,,0,0,0,0,I,0,0,0,,0,,0,21-FEB-2013 06:45:16.78,CALLEN,                                                                                                                                                                                                                                                                                                                    
ADDO    CH,1,,7,24,6,R,-1,0,-10,S,3,,0,0,0,0,I,0,0,0,,0,,0,16-NOV-2012 11:50:03.56,JMAXON,                                                                                                                                                                                                                                                                                                                      
ADDO    CH2,1,,25,24,6,R,-1,0,-10,S,3,,0,0,0,0,I,0,0,0,,0,,0,16-NOV-2012 11:53:14.82,JMAXON,                                                                                                                                                                                                                                                                                                                    
ADDO    HQ,0,,10,15,6,R,-10,0,-10,T,3,,0,0,0,0,I,0,0,0,,0,,0,16-NOV-2012 11:52:33.47,JMAXON,                                                                                                                                                                                                                                                                                                                    
ADDO    HQX,1,,13,24,6,R,-1,0,-10,S,3,,0,0,0,0,I,0,0,0,,0,,0,28-FEB-2013 08:31:54.12,CALLEN,                                                                                                                                                                                                                                                                                                                    
ADDO    HQY,1,,16,24,6,R,-1,0,-10,S,3,,0,0,0,0,I,0,0,0,,0,,0,21-FEB-2013 06:45:10.56,CALLEN,                                                                                                                                                                                                                                                                                                                    
ADDO    QC,0,,22,24,6,R,-1,0,-10,S,3,,0,0,0,0,I,0,0,0,,0,,0,17-MAR-2014 15:25:35.66,MKRITZER,                                                                                                                                                                                                                                                                                                                   
ADDO    SSC,1,,19,24,6,R,-1,0,-10,S,3,,0,0,0,0,I,0,0,0,,0,,0,21-FEB-2013 06:45:59.06,CALLEN,                                                                                                                                                                                                                                                                                                                    
ADDO    WF,1,,4,24,6,R,-1,0,-10,S,3,,0,0,0,0,I,0,0,0,,0,,0,16-NOV-2012 11:51:57.36,JMAXON,                                                                                                                                                                                                                                                                                                                      
AFCI    CH,1,CH_WEIR,1,3,4,R,-6,0,-15,T,3,,0,2,3,3,I,0,-1,-15,B,3,D,1,08-MAY-2013 17:44:57.24,KTARBET,                                                                                                                                                                                                                                                                                                          
AGA     BV,1,,25,24,4,R,-7,0,-15,S,3,,0,0,0,0,I,0,0,0,,0,,0,04-DEC-2013 15:29:11.54,CALLEN,                                                                                                                                                                                                                                                                                                                     
AGA     CH,1,,7,24,4,R,-7,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,04-DEC-2013 15:26:48.65,CALLEN,                                                                                                                                                                                                                                                                                                                      
AGA     FB,1,,4,24,4,R,-7,0,-15,S,3,,0,2,3,3,I,0,-1,-15,T,3,2,1,04-DEC-2013 15:25:44.65,CALLEN,                                                                                                                                                                                                                                                                                                                 
AGA     GH,1,,13,24,4,R,-7,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,04-DEC-2013 15:26:26.18,CALLEN,                                                                                                                                                                                                                                                                                                                     
AGA     OB,1,,19,24,4,R,-7,0,-15,T,3,,0,8,9,3,I,0,-1,-15,T,3,D,1,04-DEC-2013 15:27:56.27,CALLEN,                                                                                                                                                                                                                                                                                                                
AGA     PC,1,,10,24,4,R,-7,0,-15,S,3,,0,2,3,3,I,0,-1,-15,T,3,4,1,04-DEC-2013 15:29:43.79,CALLEN,                                                                                                                                                                                                                                                                                                                
AGA     TV,1,,16,24,4,R,-7,0,-15,S,3,,0,0,0,0,I,0,0,0,,0,,0,04-DEC-2013 15:27:17.73,CALLEN,                                                                                                                                                                                                                                                                                                                     
AGA     WF,0,,19,24,4,R,-7,0,-15,S,3,,0,0,0,0,I,0,0,0,,0,,0,04-DEC-2013 15:28:27.87,CALLEN,                                                                                                                                                                                                                                                                                                                     
AGA     XAC,1,,22,24,4,R,-7,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,04-DEC-2013 15:28:40.51,CALLEN,                                                                                                                                                                                                                                                                                                                    
AGNO    GH,1,,6,6,16,R,-14,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,22-APR-2008 08:16:36.34,JDOTY,                                                                                                                                                                                                                                                                                                                      
AGNO    WC,1,,3,6,16,R,-14,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,22-APR-2008 08:16:53.19,JDOTY,                                                                                                                                                                                                                                                                                                                      
ALMW    OB,1,,4,3,4,R,-1,0,-15,T,3,,0,2,6,3,I,0,-1,-15,B,3,D,1,10-NOV-2008 14:10:28.90,KTARBET,                                                                                                                                                                                                                                                                                                                 
ALMW    PC,1,,16,3,4,R,-1,0,-15,T,3,,0,5,6,3,I,0,-4,-15,B,3,D,1,10-NOV-2008 14:29:52.86,KTARBET,                                                                                                                                                                                                                                                                                                                
ALMW    SM20,1,,52,3,4,R,-1,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,10-NOV-2008 14:37:43.25,KTARBET,                                                                                                                                                                                                                                                                                                                   
ALMW    SM4,1,,28,3,4,R,-1,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,10-NOV-2008 14:36:48.55,KTARBET,                                                                                                                                                                                                                                                                                                                    
ALMW    SM40,1,,64,3,4,R,-1,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,10-NOV-2008 14:38:01.81,KTARBET,                                                                                                                                                                                                                                                                                                                   
ALMW    SM8,1,,40,3,4,R,-1,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,10-NOV-2008 14:37:17.91,KTARBET,                                                                                                                                                                                                                                                                                                                    
ALMW    ST20,1,,100,3,4,R,-1,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,10-NOV-2008 14:40:02.95,KTARBET,                                                                                                                                                                                                                                                                                                                  
ALMW    ST4,1,,76,3,4,R,-1,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,10-NOV-2008 14:39:13.98,KTARBET,                                                                                                                                                                                                                                                                                                                    
ALMW    ST40,1,,112,3,4,R,-1,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,10-NOV-2008 14:40:23.55,KTARBET,                                                                                                                                                                                                                                                                                                                  
ALMW    ST8,1,,88,3,4,R,-1,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,10-NOV-2008 14:39:43.82,KTARBET,                                                                                                                                                                                                                                                                                                                    
ALNO    CH,1,,4,3,4,R,-8,0,-15,S,3,,0,0,0,0,I,0,0,0,,0,,0,02-APR-2008 15:30:56.96,KTARBET,                                                                                                                                                                                                                                                                                                                      
ALPY    GH,1,,4,3,8,R,-3,0,-15,T,3,,0,2,3,3,I,0,-1,-15,T,3,D,1,04-NOV-2004 17:50:47.00,WRICHARD,                                                                                                                                                                                                                                                                                                                
ALPY    WF,1,,28,3,8,R,-3,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,04-NOV-2004 17:52:01.64,WRICHARD,                                                                                                                                                                                                                                                                                                                    
ALTO    CH,1,,4,3,4,R,-15,0,-15,S,3,,0,0,0,0,I,0,0,0,,0,,0,26-MAR-2008 11:04:02.62,KTARBET,                                                                                                                                                                                                                                                                                                                     
ALTY    OB,1,,4,3,4,R,-10,0,-15,T,3,,0,3,3,3,I,0,-1,-15,T,3,$A,2,30-OCT-2008 11:03:22.59,JHAMEL,                                                                                                                                                                                                                                                                                                                
ALTY    PC,1,,16,3,4,R,-10,0,-15,T,3,,0,3,3,3,I,0,-1,-15,T,3,$B,2,30-OCT-2008 11:03:42.48,JHAMEL,                                                                                                                                                                                                                                                                                                               
AMF     FB,1,,4,3,4,R,-17,0,-15,T,3,,0,2,3,3,I,0,-1,-15,T,3,D,1,08-APR-2016 10:38:39.29,CALLEN,                                                                                                                                                                                                                                                                                                                 
AMF     OB,1,,16,3,4,R,-17,0,-15,T,3,,0,2,6,3,I,0,-1,-15,B,3,E,1,08-APR-2016 10:39:12.40,CALLEN,                                                                                                                                                                                                                                                                                                                
AMF     PC,1,,28,3,4,R,-17,0,-15,T,3,,0,5,6,3,I,0,-4,-15,B,3,E,1,08-APR-2016 10:39:38.92,CALLEN,                                                                                                                                                                                                                                                                                                                
AMFI    GH,1,,4,3,8,R,-14,0,-15,T,3,,0,3,3,3,I,0,-1,-15,T,3,$J,2,23-APR-2007 15:57:10.13,JDOTY,                                                                                                                                                                                                                                                                                                                 
AMFI    OB,1,,28,3,8,R,-14,0,-15,T,3,,0,2,6,3,I,0,-1,-15,B,3,xxx,3,23-APR-2007 15:57:23.88,JDOTY,                                                                                                                                                                                                                                                                                                               
AMFI    WF,1,,52,3,8,R,-14,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,23-APR-2007 15:57:38.88,JDOTY,                                                                                                                                                                                                                                                                                                                      
ANAW    GH,1,,4,3,8,R,-7,0,-15,T,3,,0,2,3,3,I,0,-1,-15,B,3,D,1,02-MAR-2007 12:10:17.56,JDOTY,                                                                                                                                                                                                                                                                                                                   
ANAW    WC,0,,28,3,8,R,-11,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,08-APR-2013 14:09:04.66,KTARBET,                                                                                                                                                                                                                                                                                                                    
