network,station id,start_date,end_date, lat,lon,elev,element,state,county,basin,site_name,site_info_link,cdbs_id,shef_id,gmt_offset,
snotel,1062,2004-08-04,2100-01-01,  59.86,-151.32,   1653,Snow Water Equivalent,AK,Kenai Peninsula,Lower Kenai Peninsula,ANCHOR RIVER DIVIDE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1062,51K05S  ,ANRA2,8.0,
snotel,1070,2006-04-21,2100-01-01,  61.11,-149.67,   2080,Snow Water Equivalent,AK,Anchorage,Anchorage,ANCHORAGE HILLSIDE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1070,49M22S  ,HILA2,8.0,
snotel,1086,2006-10-01,2100-01-01,  61.94,-150.98,    150,Snow Water Equivalent,AK,Matanuska-susitna,Yentna River,BENTALIT LODGE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1086,50M05S  ,BLSA2,8.0,
snotel,1093,2008-06-25,2100-01-01,  62.07,-142.05,   3320,Snow Water Equivalent,AK,Southeast Fairbanks,Nebesna-Chisana Rivers,CHISANA,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1093,42N01S  ,CHXA2,8.0,
snotel,958,1999-03-16,2100-01-01,  67.25,-150.18,   1040,Snow Water Equivalent,AK,Yukon-koyukuk,Upper Koyukuk River,COLDFOOT,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=958,50S01S  ,COFA2,8.0,
snotel,959,1999-03-16,2100-01-01,  60.39,-149.69,   1200,Snow Water Equivalent,AK,,Upper Kenai Peninsula,COOPER LAKE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=959,49L10S  ,CORA2,8.0,
snotel,956,1999-03-16,2100-01-01,  60.61,-149.06,   1100,Snow Water Equivalent,AK,,Upper Kenai Peninsula,GRANDVIEW,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=956,49L09S  ,GRVA2,8.0,
snotel,963,1999-03-16,2100-01-01,  63.94,-145.40,   1240,Snow Water Equivalent,AK,,Healy Lake,GRANITE CRK,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=963,45O04S  ,GCKA2,8.0,
snotel,964,1999-03-16,2100-01-01,  60.26,-149.34,    700,Snow Water Equivalent,AK,Kenai Peninsula,Upper Kenai Peninsula,GROUSE CREEK DIVIDE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=964,49L14S  ,GCRA2,8.0,
snotel,1091,2006-10-01,2100-01-01,  61.79,-149.28,   3550,Snow Water Equivalent,AK,Matanuska-susitna,Lower Susitna River,INDEPENDENCE MINE,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1091,49M26S  ,HATA2,8.0,
snotel,946,1999-03-16,2100-01-01,  61.07,-149.48,   2350,Snow Water Equivalent,AK,,Anchorage,INDIAN PASS,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=946,49M08S  ,INPA2,8.0,
snotel,966,1999-03-16,2100-01-01,  60.73,-150.48,    300,Snow Water Equivalent,AK,,Upper Kenai Peninsula,KENAI MOOSE PENS,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=966,50L02S  ,KNPA2,8.0,
