Order,Cbtt,Group
1,BORO,Baker
2,BLPO,Baker
3,EIMO,Baker
4,GLDO,Baker
5,ATAI,Boise
6,ATLI,Boise
7,BASI,Boise
8,DHDI,Boise
9,GARI,Boise
10,GGSI,Boise
11,GLSI,Boise
12,IDHI,Boise
13,JKPI,Boise
14,MRKI,Boise
15,PRAI,Boise
16,SCKI,Boise
17,TRMI,Boise
18,VNNI,Boise
19,ATAI,Boise-sno
20,ATLI,Boise-sno
21,BASI,Boise-sno
22,BSDI,Boise-sno
23,BKSI,Boise-sno
24,BRBI,Boise-sno
25,COZI,Boise-sno
26,DDSI,Boise-sno
27,DED,Boise-sno
28,DHDI,Boise-sno
29,GARI,Boise-sno
30,GGSI,Boise-sno
31,GLSI,Boise-sno
32,IDHI,Boise-sno
33,JKPI,Boise-sno
34,MRKI,Boise-sno
35,PRAI,Boise-sno
36,SCKI,Boise-sno
37,SCSI,Boise-sno
38,TRMI,Boise-sno
39,VNNI,Boise-sno
40,WBRI,Boise-sno
41,brri,Cascade
42,BSDI,Cascade
43,BKSI,Cascade
44,DDSI,Cascade
45,SCSI,Cascade
46,SQFI,Cascade
47,WBRI,Cascade
48,elbi,Clear
49,coli,Clear
50,crai,Clear
51,hemi,Clear
52,hoom,Clear
53,lpsi,Clear
54,lsli,Clear
55,mcki,Clear
56,mtmi,Clear
57,nzcm,Clear
58,shai,Clear
59,shwi,Clear
60,svpi,Clear
61,twlm,Clear
62,BASI,Deadwood
63,BKSI,Deadwood
64,COZI,Deadwood
65,DDSI,Deadwood
66,JKPI,Deadwood
67,MRKI,Deadwood
68,pcode:sd,depth
69,ATAI,depth
70,BASI,depth
71,bksi,depth
72,DHDI,depth
73,GGSI,depth
74,GLSI,depth
75,JKPI,depth
76,MRKI,depth
77,SCKI,depth
78,TRMI,depth
79,VNNI,depth
80,smti,depth
81,ispi,depth
82,bbsy,depth
83,OCMO,Deschutes
84,DERO,Deschutes
85,SNWO,Deschutes
86,badm,flathead
87,bism,flathead
88,cpcm,flathead
89,emcm,flathead
90,ftmm,flathead
91,grcm,flathead
92,hanm,flathead
93,krcm,flathead
94,manm,flathead
95,mspm,flathead
96,mtkm,flathead
97,nfjm,flathead
98,noim,flathead
99,picm,flathead
100,spbm,flathead
101,sqpm,flathead
102,stam,flathead
103,sttm,flathead
104,trlm,flathead
105,uhlm,flathead
106,BLBM,Henrys
107,CRBI,Henrys
108,GCKY,Henrys
109,GRLY,Henrys
110,ISPI,Henrys
111,LVRM,Henrys
112,LWSY,Henrys
113,MPLM,Henrys
114,PCPI,Henrys
115,PHBY,Henrys
116,VLVI,Henrys
117,WHEI,Henrys
118,WSKM,Henrys
119,badm,Hungry Horse
120,emcm,Hungry Horse
121,mtkm,Hungry Horse
122,noim,Hungry Horse
123,picm,Hungry Horse
124,spbm,Hungry Horse
125,crai,lochsa
126,hemi,lochsa
127,lpsi,lochsa
128,shai,lochsa
129,svpi,lochsa
130,tmcm,lochsa
131,twlm,lochsa
132,BLPO,Malheur
133,lkco,Malheur
134,rcso,Malheur
135,stro,Malheur
136,BASI,mfsalmon
137,BKSI,mfsalmon
138,BRRI,mfsalmon
139,DDSI,mfsalmon
140,MLKI,mfsalmon
141,MRGI,mfsalmon
142,SCSI,mfsalmon
143,BERN,owyhee
144,BIGN,owyhee
145,fwcn,owyhee
146,JCUN,owyhee
147,LADN,owyhee
148,MDFI,owyhee
149,prsn,owyhee
150,SMTI,owyhee
151,SSCN,owyhee
152,TACN,owyhee
153,pcode:snow,owyhee snow
154,BERN,owyhee snow
155,BIGN,owyhee snow
156,JCUN,owyhee snow
157,LADN,owyhee snow
158,SSCN,owyhee snow
159,TACN,owyhee snow
160,SMTI,owyhee snow
161,BASI,payette
162,bogi,payette
163,brbi,payette
164,brri,payette
165,BSDI,payette
166,BKSI,payette
167,COZI,payette
168,DDSI,payette
169,DED,payette
170,JKPI,payette
171,lfki,payette
172,MRKI,payette
173,SCSI,payette
174,SQFI,payette
175,sqmi,payette
176,WBRI,payette
177,BASI,salmon
178,BEAM,salmon
179,BKSI,salmon
180,BRBI,salmon
181,BRRI,salmon
