GOESDEC,ACTIVE, RTCNAME, S_OFV, S_ONV, S_NV, S_TTMODE, S_RTFV, S_OTC, S_TBV, S_DTFMT, S_DTSIZE, S_BID, S_BIDCNT, R_OFV, R_ONV, R_NV, R_TTMODE, R_RTFV, R_OTC, R_TBV, R_DTFMT, R_DTSIZE, R_BID, R_BIDCNT, EDITDATE, OWNER,                                                                                                                                                                                       
AHNW    GH,0,,3,3,16,R,-6,0,-15,B,3,,0,0,0,0,I,0,0,0,,0,,0,11-JAN-1994 15:16:57.10,EWAECHTER,                                                                                                                                                                                                                                                                                                                   
AMRW    GH,1,,4,6,8,R,-10,0,-15,T,3,,0,2,3,3,I,0,-1,-15,B,3,D,1,03-NOV-2011 08:37:13.92,HYDROMET,                                                                                                                                                                                                                                                                                                               
AUGW    GH,1,,4,3,8,R,-2,0,-15,T,3,,0,2,3,2,I,0,-1,-15,T,3,2,1,20-NOV-2009 08:32:38.24,HYDROMET,                                                                                                                                                                                                                                                                                                                
BICW    GH,1,,4,3,4,R,-2,0,-15,S,3,,0,2,3,2,I,0,-1,-15,B,3,2,1,23-OCT-2009 07:13:36.81,HYDROMET,                                                                                                                                                                                                                                                                                                                
BMPW    SE,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:47:22.25,HYDROMET,                                                                                                                                                                                                                                                                                                                     
BUM     SP,0,,0,0,0,R,0,0,0,,0,,0,0,0,0,I,0,0,0,,0,,0,15-OCT-2001 14:15:42.85,CRINKER,                                                                                                                                                                                                                                                                                                                          
CFSW    OB,1,,4,12,4,R,-5,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,20-JAN-2011 13:05:32.65,HYDROMET,                                                                                                                                                                                                                                                                                                                    
CFSW    WD,1,,13,12,4,R,-5,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,20-JAN-2011 13:05:05.79,HYDROMET,                                                                                                                                                                                                                                                                                                                   
CFSW    WF,1,,7,12,4,R,-5,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,20-JAN-2011 13:06:13.57,HYDROMET,                                                                                                                                                                                                                                                                                                                    
CFSW    WS,1,,10,12,4,R,-5,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,20-JAN-2011 13:06:56.46,HYDROMET,                                                                                                                                                                                                                                                                                                                   
CGWW    GH,1,,4,3,4,R,-2,0,-15,T,3,,0,0,0,32,I,0,0,0,,32,,0,28-MAY-2013 13:32:00.99,HYDROMET,                                                                                                                                                                                                                                                                                                                   
CHCW    CH,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,25-APR-2003 08:39:02.65,QKREUTER,                                                                                                                                                                                                                                                                                                                     
CHRW    GH,1,,4,3,4,R,-3,0,-15,T,3,,0,0,0,32,I,0,0,0,,32,,0,14-DEC-2010 10:56:19.89,HYDROMET,                                                                                                                                                                                                                                                                                                                   
CLE     FB,1,,7,15,4,R,-14,0,-15,T,3,,0,2,3,2,I,0,-1,-15,T,3,2,1,17-FEB-2017 13:40:36.27,HYDROMET,                                                                                                                                                                                                                                                                                                              
CLE     GH,1,,10,15,4,R,-14,0,-15,T,3,,0,0,0,32,I,0,0,0,,32,,0,17-FEB-2017 13:40:44.01,HYDROMET,                                                                                                                                                                                                                                                                                                                
