group,station,daily_pcode,title,ylabel
Boise Payette,plei,qd,"Payette River near Letha, ID",Discharge - cfs
Boise Payette,emm,qd,"Payette River near Emmett, ID",Discharge - cfs
Boise Payette,sqwi,qd,"Squaw Creek at Sweet, ID",Discharge - cfs
Boise Payette,etsi,qj,Black Canyon SS Canal nr Emmett,Canal Discharge - cfs
Boise Payette,etni,qj,Black Canyon NS Canal nr Emmett,Canal Discharge - cfs
Boise Payette,csci,qd,"North Fork Payette River at Cascade, ID",Discharge - cfs
Boise Payette,dedi,qd,"Deadwood River below Deadwood Dam, ID",Discharge - cfs
Boise Payette,prli,qd,"South Fork Payette River at Lowman, ID",Discharge - cfs
Boise Payette,mfpi,qd,"Middle Fork Payette River at Crouch, ID",Discharge - cfs
Boise Payette,brfi,qd,S Fork Boise River near Featherville,Discharge - cfs
Boise Payette,andi,qd,S Fork Boise River at Anderson Ranch,Discharge - cfs
Boise Payette,btsi,qd,Boise River near Twin Springs,Discharge - cfs
Boise Payette,luc,qd,Boise River below Lucky Peak Dam,Discharge - cfs
Boise Payette,bsei,qj,New York Canal,Canal Discharge - cfs
Boise Payette,bigi,qd,Boise River at Glenwood Bridge,Discharge - cfs
Boise Payette,bomi,qd,Boise River near Middleton,Discharge - cfs
Boise Payette,hrsi,qd,Payette River near Horseshoe Bend,Discharge - cfs
Boise Payette,pabi,qd,"North Fork Payette River nr Banks, ID",Discharge -cfs
Boise Payette,prpi,qd,Payette River near Payette,Discharge - cfs
Boise Payette,pari,qd,Boise River near Parma,Discharge - cfs
Boise Payette,mcii,gd,Mann Creek bel Adams Cr abv Reservoir,Gauge Height - feet
Boise Payette,csc,af,Lake Cascade,Reservoir Storage - acre-feet
Boise Payette,csc,fb,Lake Cascade,Reservoir Elevation - feet
Boise Payette,luc,af,Lucky Peak Lake,Reservoir Storage - acre-feet
Boise Payette,luc,fb,Lucky Peak Lake,Reservoir Elevation - feet
Boise Payette,ark,af,Arrowrock Reservoir,Reservoir Storage - acre-feet
Boise Payette,and,af,Anderson Ranch Reservoir,Reservoir Storage - acre-feet
Boise Payette,low,af,Lake Lowell,Reservoir Storage - acre-feet
Boise Payette,low,fb,Lake Lowell,Reservoir Elevation - feet
Boise Payette,ded,af,Deadwood Reservoir,Reservoir Storage - acre-feet
Boise Payette,man,af,Mann Creek Reservoir,Reservoir Storage - acre-feet
Eastern Oregon,beuo,qd,North Fork Mahleur River at Beulah,Discharge - cfs
Eastern Oregon,hcdi,qd,Snake River at Hells Canyon Dam,Discharge - cfs
Eastern Oregon,mabo,qd,N.F. Malheur River above Beulah Res,Discharge - cfs
