cbtt,station_id,Name,Basin
ALNO,14030000,"ALLEN CN AT ECHO, OR",Umatilla
ALTO,14029800,"US ""A"" LINE CN NR HERMISTON, OR",Umatilla
ANTO,14348080,"ANTELOPE CR BL ROGUE RIVER VALLEY IRR. DIST. DIV. NR WHITE CITY, OR",Rogue
ARNO,14065500,"ARNOLD CN NR BEND, OR",Deschutes
BCMO,14358800,"BEAR CR AB MOUTH NR CENTRAL POINT, OR",Rogue
BCTO,14357000,"BEAR CR BL PHOENIX CN NR TALENT, OR",Rogue
BENO,14064500,"DESCHUTES R AT BENHAM FALLS NR BEND, OR",Deschutes
BERO,13330500,"BEAR CR NR WALLOWA, OR",Grande Ronde
BIRO,14025000,"BIRCH CR AT RIETH, OR",Umatilla
BJBO,14357503,"BEAR CR AT JACKSON ST BRIDGE AT MEDFORD, OR",Rogue
BSCO,14335235,BIEBERSTEDT CR AB WILLOW LK NR BUTTE FALLS,Rogue
CENO,14066500,"CENTRAL OREGON CN AB PILOT BUTTE NR BEND, OR",Deschutes
CRAO,14054000,"DESCHUTES R BL CRANE PRAIRIE RES NR LA PINE, OR",Deschutes
CRCO,14080590,"CROOKED R FEED CN NR PRINEVILLE, OR",Deschutes
CREO,14060000,"CRESCENT CR AT CRESCENT LAKE NR CRESCENT, OR",Deschutes
CRPO,14079800,"CROOKED R AB PRINEVILLE RES NR POST, OR",Deschutes
CRSO,14087300,"CROOKED R NR TERREBONNE, OR",Deschutes
CSAO,14029780,"US ""A"" LINE CN AT COLD SPGS RES NR HERMISTON, OR",Umatilla
CSRO,14019110,"COLD SPRINGS RESERVOIR EXCHANGE CN NR HERMISTON, OR",Umatilla
DCMO,14068500,"DESCHUTES CTY MUN IMP DIST CN AT BEND, OR",Deschutes
DEBO,14070500,"DESCHUTES R BL BEND, OR",Deschutes
DLEO,14031000,"DILLON CN NR STANFIELD, OR",Umatilla
EGSO,14348400,"EMIGRANT CR AB GREEN SPRINGS POWERPLANT NR ASHLAND,",Rogue
FCEO,14029000,"UMATILLA PROJECT FEED CN NR ECHO, OR",Umatilla
FCSO,14029550,"UMATILLA PROJECT FEED CN AT RES NR HERMISTON, OR",Umatilla
FURO,14026897,"FURNISH CN AB CRAYNE-LISLE CN NR ECHO, OR",Umatilla
GALO,14204530,"GALES CR AT ROUTE 47 AT FOREST GROVE, OR",Willamette
GCCO,14358680,"GRIFFIN CR AT CENTRAL POINT, OR",Rogue
GCJO,14358610,GRIFFIN CR BL MURPHY CR NR MEDFORD,Rogue
GILO,14340800,"S FK LITTLE BUTTE CR AB SODA CR NR LAKECREEK, OR",Rogue
GSTO,14202510,"TUALATIN R AT GASTON, OR",Willamette
JCCO,14358750,"JACKSON CR AT CENTRAL POINT, OR",Rogue
JCJO,14358725,JACKSON CR AT JACKSONVILLE,Rogue
LAPO,14063000,"LITTLE DESCHUTES R NR LA PINE, OR",Deschutes
LBCO,14346700,"LITTLE BUTTE CR AT LAKECREEK, OR",Rogue
LBEO,14348000,"LITTLE BUTTE CR BL EAGLE POINT, OR",Rogue
LSTO,13330000,"LOSTINE R NR LOSTINE, OR",Grande Ronde
MABO,13216500,"N FK MALHEUR R AB BEULAH RES NR BEULAH, OR",Malheur
MAXO,14031500,"MAXWELL CN NR HERMISTON, OR",Umatilla
MCKO,14023500,"MCKAY CR NR PENDLETON, OR",Umatilla
MDCO,14363450,MCDONALD CR NR TALENT,Rogue
MLCO,14083400,"MILL CR BL SCHOOLHOUSE CR NR PRINEVILLE, OR",Deschutes
MYKO,14022500,"MCKAY CR NR PILOT ROCK, OR",Umatilla
NCAO,14069500,"NORTH CN NR BEND, OR",Deschutes
NCFO,14350900,"NEIL CR AB DUNN D NR ASHLAND, OR",Rogue
NFLO,14343000,"N FK LITTLE BUTTE CR NR LAKECREEK, OR",Rogue
NMCO,14069000,"NORTH UNIT MAIN CN NR BEND, OR",Deschutes
NPDO,13284900,"POWDER R AB THIEF VALLEY RES NR N POWDER, OR",Powder
OCHO,14085300,"OCHOCO CR BL OCHOCO RES NR PRINEVILLE, OR",Deschutes
OCRO,14082550,"OCHOCO CR BL MARKS CR NR PRINEVILLE, OR",Deschutes
PDTO,14021000,"UMATILLA R AT PENDLETON, OR",Umatilla
PRHO,13275105,"POWDER R AT HUDSPETH LANE NR SUMPTER, OR",Powder
PRVO,14080500,"CROOKED R NR PRINEVILLE, OR",Deschutes
PWDO,13277000,"POWDER R AT BAKER CITY, OR",Powder
SBCO,14095250,"MUD SPRINGS CR NR GATEWAY, OR",Deschutes
SCOO,14202980,"SCOGGINS CR BL HENRY HAGG LAKE NR GASTON, OR",Willamette
SFLO,14341610,"S FK LITTLE BUTTE CR AT MOUTH NR LAKECREEK, OR",Rogue
SILO,10390000,"SILVER CR NR SILVER LAKE, OR",Goose & Summer Lake
SPBO,11497500,"SPRAGUE R NR BEATTY, OR",Klamath
SQSO,14076050,"WHYCHUS CR AT SISTERS, OR",Deschutes
SWCO,14070000,"SWALLEY CN NR BEND, OR",Deschutes
TFCO,14073500,"TUMALO FEED CN NR BEND, OR",Deschutes
