Date,talsys_afavg
10/1/2000,55391.52579
10/2/2000,55282.79105
10/3/2000,55187.57105
10/4/2000,55097.94632
10/5/2000,54377.38263
10/6/2000,54294.26105
10/7/2000,54210.87263
10/8/2000,54153.60526
10/9/2000,54732.29789
10/10/2000,54667.93
10/11/2000,54611.76842
10/12/2000,54533.62211
10/13/2000,54507.63316
10/14/2000,54475.98737
10/15/2000,54451.27737
10/16/2000,54447.81474
10/17/2000,54450.70158
10/18/2000,54457.28
10/19/2000,54477.74947
10/20/2000,54490.96474
10/21/2000,54478.63947
10/22/2000,54477.07789
10/23/2000,54485.82316
10/24/2000,54535.65526
10/25/2000,54541.37316
10/26/2000,54551.03789
10/27/2000,54568.06053
10/28/2000,54591.18895
10/29/2000,54591.37947
10/30/2000,54617.40368
10/31/2000,54651.21105
11/1/2000,54638.55895
11/2/2000,54646.43368
11/3/2000,54681.25579
11/4/2000,54711.00263
11/5/2000,54751.64842
11/6/2000,54805.14737
11/7/2000,54859.20211
11/8/2000,54899.05211
11/9/2000,54901.92895
11/10/2000,54914.52947
11/11/2000,54933.23526
11/12/2000,54990.26526
11/13/2000,55067.26579
11/14/2000,55107.76737
11/15/2000,55137.05474
11/16/2000,55182.71158
11/17/2000,55247.53895
11/18/2000,55567.85421
11/19/2000,55707.81105
11/20/2000,55805.95053
11/21/2000,55996.07158
11/22/2000,56064.26211
11/23/2000,56210.39789
11/24/2000,56266.23474
11/25/2000,56340.87105
11/26/2000,56385.25105
11/27/2000,56395.92421
11/28/2000,56398.93842
11/29/2000,56455.34211
11/30/2000,56525.05211
12/1/2000,56719.70053
12/2/2000,56825.60421
12/3/2000,56914.91684
12/4/2000,57031.59842
12/5/2000,57156.49842
12/6/2000,57271.95
12/7/2000,57445.02
12/8/2000,57739.02947
12/9/2000,57976.38
12/10/2000,58109.06421
12/11/2000,58219.34105
12/12/2000,58458.01789
12/13/2000,58611.74526
12/14/2000,58735.58053
12/15/2000,58810.31947
12/16/2000,58871.96211
12/17/2000,58894.79263
12/18/2000,58949.99789
12/19/2000,59016.04947
12/20/2000,59122.16737
12/21/2000,59172.05737
12/22/2000,59239.51368
12/23/2000,59304.14053
12/24/2000,59388.54842
12/25/2000,59439.89158
12/26/2000,59595.01526
12/27/2000,59861.165
12/28/2000,60110.63474
12/29/2000,60351.37842
12/30/2000,61025.35474
12/31/2000,61632.75526
1/1/2001,62359.93368
1/2/2001,62773.57684
1/3/2001,63110.77105
1/4/2001,63389.99947
1/5/2001,63539.66421
1/6/2001,63652.95421
1/7/2001,63759.03895
1/8/2001,63885.12
1/9/2001,64106.33842
1/10/2001,64317.70368
1/11/2001,64484.10789
1/12/2001,64636.91
