cbtt,charcnt
ACAO,30
ADDO,150
AFCI,15
AGA,102
ALMW,126
ALNO,18
ALPY,54
ALTO,18
ALTY,30
AMF,42
AMFI,78
AMRW,102
ANAW,150
ANCI,15
AND,90
ANDI,18
ANTI,30
ANTO,42
ARCI,30
ARK,42
ARNO,42
ASCI,15
ASLO,90
ATLI,42
AUCI,15
AUGW,30
BALO,30
BARI,54
BASO,78
BCAO,30
BCCO,41
BCMO,42
BCSO,42
BCTO,42
BDDI,30
BENO,42
BEU,30
BEUO,66
BFCI,15
BFKY,30
BFTI,54
BICW,18
BIGI,30
BIRO,54
BJBO,30
BKPI,15
BLFI,54
BLOI,30
BMCI,15
BNWI,30
BOOI,15
BOUY,66
BPPI,27
BRFI,78
BRON,30
BSCI,30
BSCO,138
BSKI,30
BTSI,54
BUFO,30
BUL,66
BURI,15
CACO,18
CAMI,54
CBCI,15
CCL,18
CCPI,15
CCR,42
CECI,15
CENO,30
CFCI,15
CFMM,77
CFSW,54
CGWW,18
CHEI,30
CHRO,18
CHRW,18
CIBW,66
CLFW,42
CLK,18
CLR,18
CLS,18
CLYW,18
CMO,30
CNCI,30
COTI,30
CPPW,78
CRA,18
CRAO,30
CRCI,15
CRCO,30
CRE,42
CREO,42
CRMI,30
CROO,78
CRPO,42
CRSI,54
CRSO,42
CRWI,54
CSAO,18
CSC,42
CSCI,66
CSRO,54
CTLI,30
CULO,102
CVAI,42
CVPI,27
CXCI,15
CXMI,27
DANO,30
DAVW,126
DCMO,18
DEBO,30
DED,141
DEDEWS1,141
DEDEWS2,141
DEDI,78
DEPW,18
DGGI,65
DICO,18
DLEO,18
DLLO,54
DNCI,15
DRYI,30
DRYW,66
EBCO,78
EGCI,15
EGLO,78
EGSO,90
ELCI,18
ELNW,30
ELWW,150
EMI,114
EMM,42
ENTI,15
ENVI,30
EPTO,30
ERCI,15
ETCW,18
ETNI,42
ETSI,18
FALI,30
FARI,15
FAYI,30
FCEO,18
FCFM,54
FCSO,30
FDRW,66
FFCI,15
FIS,30
FLGY,54
FMCI,27
FOR,42
FRAI,30
FRCI,11
FSHO,30
FURO,18
GALO,18
GAVI,30
GCCO,30
GCGW,54
GCJO,54
GCKY,42
GDMM,30
GER,42
GILO,66
GLI,66
GOSI,30
GPLO,29
GRAO,78
GREY,30
GROY,30
GRRO,29
GRS,30
GRSI,30
GRZO,30
GSPO,90
GSTO,54
GWCI,15
GWSI,30
HALI,55
HARI,15
HAY,126
HCFI,65
HDRBEND,30
HEII,30
HEN,18
HENI,30
HFAI,30
HGH,77
HGHM,126
HGWM,33
HKBY,42
HLSI,30
HPCO,54
HPD,90
HPWO,42
HRPO,18
HRSI,54
HWRI,30
HYA,114
IDCI,15
IDHI,42
INCI,15
ISCI,11
ISL,66
ISLI,54
JCCO,30
JCJO,54
JCK,90
JCTO,18
JKNY,30
JKSY,30
JOHI,30
KELO,30
KETI,30
KRSI,30
LABI,15
LACI,15
LBCO,54
LBEO,102
LEFO,18
LEMI,30
LFPI,30
LINI,30
LMHI,30
LNRW,30
LOCI,54
LORI,54
LOW,57
LOWEWS,57
LPPI,15
LRD,150
LRS,30
LRVO,150
LUC,78
LUCFB,30
LWOI,30
MAFO,30
MAL,18
MAN,42
MAXO,114
MCDO,30
MCK,18
MCKO,30
MDCO,42
MDDO,42
MDWO,18
MEDW,18
MFDO,30
MFPI,54
MHPI,53
MIDI,30
MIDO,53
MIII,15
MIL,30
MILI,29
MIN,78
MINI,30
MLCI,15
MLCO,30
MNNI,54
MNTN,30
MOCN,30
MORI,30
MPCI,15
MRYI,11
MSEY,126
MXCI,15
MYKO,54
NCAO,42
NCDO,30
