"TOACI1","Site 56","Hourly"
"TMSTAMP","RECNBR","BAT_VOLT_Avg","Canal_Hgt_Avg","GATE_HGT_Avg"
"2016-04-21 13:00:00",146,13.48,4.244,4.309
"2016-04-21 14:00:00",147,13.45,4.153,4.186
"2016-04-21 15:00:00",148,13.44,4.065,4.007
"2016-04-21 16:00:00",149,13.41,4.054,3.939
"2016-04-21 17:00:00",150,13.45,4.033,3.89
"2016-04-21 18:00:00",151,13.48,4.02,3.9
"2016-04-21 19:00:00",152,13.48,3.995,4.009
"2016-04-21 20:00:00",153,13.44,3.995,4.123
"2016-04-21 21:00:00",154,13.4,3.966,4.296
"2016-04-21 22:00:00",155,13.39,3.933,4.606
"2016-04-21 23:00:00",156,13.42,3.912,4.992
"2016-04-22 00:00:00",157,13.4,3.919,5.418
"2016-04-22 01:00:00",158,13.4,3.929,5.852
"2016-04-22 02:00:00",159,13.37,3.924,6.003
"2016-04-22 03:00:00",160,13.36,3.914,6
"2016-04-22 04:00:00",161,13.37,3.92,5.995
"2016-04-22 05:00:00",162,13.42,3.956,5.993
"2016-04-22 06:00:00",163,13.33,4.016,5.994
"2016-04-22 07:00:00",164,13.41,4.071,5.855
"2016-04-22 08:00:00",165,13.56,4.111,5.635
"2016-04-22 09:00:00",166,13.31,4.126,5.357
"2016-04-22 10:00:00",167,13.34,4.116,5.046
"2016-04-22 11:00:00",168,13.35,4.092,4.805
"2016-04-22 12:00:00",169,13.38,4.071,4.646
"2016-04-22 13:00:00",170,13.4,4.055,4.546
"2016-04-22 14:00:00",171,13.44,4.052,4.5
"2016-04-22 15:00:00",172,13.42,4.022,4.397
"2016-04-22 16:00:00",173,13.41,4.03,4.408
"2016-04-22 17:00:00",174,13.4,4.033,4.386
"2016-04-22 18:00:00",175,13.39,4.029,4.385
"2016-04-22 19:00:00",176,13.39,4.051,4.42
"2016-04-22 20:00:00",177,13.38,4.045,4.385
"2016-04-22 21:00:00",178,13.39,4.032,4.35
"2016-04-22 22:00:00",179,13.38,4.038,4.352
"2016-04-22 23:00:00",180,13.34,4.033,4.331
"2016-04-23 00:00:00",181,13.34,4.057,4.344
"2016-04-23 01:00:00",182,13.33,4.052,4.268
"2016-04-23 02:00:00",183,13.57,4.058,4.177
"2016-04-23 03:00:00",184,13.3,4.058,4.068
"2016-04-23 04:00:00",185,13.3,4.049,3.984
"2016-04-23 05:00:00",186,13.39,4.048,3.939
"2016-04-23 06:00:00",187,13.3,4.054,3.905
"2016-04-23 07:00:00",188,13.4,4.147,3.974
"2016-04-23 08:00:00",189,13.54,4.332,4.25
"2016-04-23 09:00:00",190,13.31,5.071,5.051
"2016-04-23 10:00:00",191,13.3,5.07,4.991
"2016-04-23 11:00:00",192,13.31,5.085,4.987
"2016-04-23 12:00:00",193,13.31,5.094,4.96
"2016-04-23 13:00:00",194,13.32,5.049,4.89
"2016-04-23 14:00:00",195,13.31,5.055,4.932
"2016-04-23 15:00:00",196,13.3,5.07,4.989
"2016-04-23 16:00:00",197,13.3,5.057,4.996
"2016-04-23 17:00:00",198,13.3,5.042,4.998
"2016-04-23 18:00:00",199,13.3,5.056,5.048
"2016-04-23 19:00:00",200,13.3,5.093,5.107
"2016-04-23 20:00:00",201,13.31,5.061,5.044
"2016-04-23 21:00:00",202,13.3,5.083,5.058
"2016-04-23 22:00:00",203,13.3,5.087,5.038
"2016-04-23 23:00:00",204,13.3,5.088,5.003
"2016-04-24 00:00:00",205,13.3,5.084,4.985
"2016-04-24 01:00:00",206,13.3,5.092,4.976
"2016-04-24 02:00:00",207,13.29,5.089,4.956
"2016-04-24 03:00:00",208,13.29,5.091,4.955
"2016-04-24 04:00:00",209,13.29,5.091,4.931
"2016-04-24 05:00:00",210,14.11,5.067,4.89
"2016-04-24 06:00:00",211,13.3,5.071,4.891
"2016-04-24 07:00:00",212,13.29,5.048,4.85
"2016-04-24 08:00:00",213,13.54,5.042,4.849
"2016-04-24 09:00:00",214,13.39,5.064,4.864
"2016-04-24 10:00:00",215,13.32,5.083,4.865
"2016-04-24 11:00:00",216,13.32,5.084,4.865
"2016-04-24 12:00:00",217,13.32,5.085,4.853
"2016-04-24 13:00:00",218,13.32,5.076,4.836
"2016-04-24 14:00:00",219,13.33,5.059,4.806
"2016-04-24 15:00:00",220,13.36,5.063,4.82
"2016-04-24 16:00:00",221,13.34,5.079,4.828
"2016-04-24 17:00:00",222,13.33,5.064,4.813
"2016-04-24 18:00:00",223,13.34,5.081,4.829
"2016-04-24 19:00:00",224,13.34,5.048,4.78
"2016-04-24 20:00:00",225,13.34,5.084,4.825
"2016-04-24 21:00:00",226,13.31,5.084,4.825
"2016-04-24 22:00:00",227,13.3,5.086,4.825
"2016-04-24 23:00:00",228,13.29,5.091,4.825
"2016-04-25 00:00:00",229,13.88,5.085,4.805
"2016-04-25 01:00:00",230,14.48,5.071,4.787
"2016-04-25 02:00:00",231,13.77,5.072,4.787
"2016-04-25 03:00:00",232,13.29,5.072,4.787
"2016-04-25 04:00:00",233,13.28,5.072,4.788
"2016-04-25 05:00:00",234,13.73,5.068,4.779
"2016-04-25 06:00:00",235,13.31,5.079,4.79
"2016-04-25 07:00:00",236,13.29,5.083,4.791
"2016-04-25 08:00:00",237,13.7,5.083,4.79
"2016-04-25 09:00:00",238,13.32,5.082,4.79
"2016-04-25 10:00:00",239,13.31,5.083,4.79
