yyyyMMMdd hhmm cbtt     PC        NewValue   OldValue   Flag user:hydromet # DECODES output
2014JUN10 1230 HCDI     GH        65.22      998877.00  -01
2014JUN10 1215 HCDI     GH        65.21      998877.00  -01
2014JUN10 1200 HCDI     GH        65.20      998877.00  -01
2014JUN10 1145 HCDI     GH        65.24      998877.00  -01
2014JUN10 1130 HCDI     GH        65.22      998877.00  -01
2014JUN10 1115 HCDI     GH        65.24      998877.00  -01
2014JUN10 1100 HCDI     GH        65.22      998877.00  -01
2014JUN10 1045 HCDI     GH        65.25      998877.00  -01
2014JUN10 1200 HCDI     BV        19.38      998877.00  -01
2014JUN10 1230 SWAI     GH        2.52       998877.00  -01
2014JUN10 1215 SWAI     GH        2.52       998877.00  -01
2014JUN10 1200 SWAI     GH        2.51       998877.00  -01
2014JUN10 1145 SWAI     GH        2.53       998877.00  -01
2014JUN10 1130 SWAI     GH        2.53       998877.00  -01
2014JUN10 1115 SWAI     GH        2.53       998877.00  -01
2014JUN10 1100 SWAI     GH        2.52       998877.00  -01
2014JUN10 1045 SWAI     GH        2.52       998877.00  -01
2014JUN10 1200 SWAI     BV        19.06      998877.00  -01
2014JUN10 1230 GVII     CH        1.94       998877.00  -01
2014JUN10 1215 GVII     CH        1.95       998877.00  -01
2014JUN10 1200 GVII     CH        1.94       998877.00  -01
2014JUN10 1145 GVII     CH        1.95       998877.00  -01
2014JUN10 1130 GVII     CH        1.95       998877.00  -01
2014JUN10 1115 GVII     CH        1.93       998877.00  -01
2014JUN10 1100 GVII     CH        1.94       998877.00  -01
2014JUN10 1045 GVII     CH        1.94       998877.00  -01
2014JUN10 1230 GVMI     CH        9.74       998877.00  -01
2014JUN10 1215 GVMI     CH        9.74       998877.00  -01
2014JUN10 1200 GVMI     CH        9.74       998877.00  -01
2014JUN10 1145 GVMI     CH        9.74       998877.00  -01
2014JUN10 1130 GVMI     CH        9.74       998877.00  -01
2014JUN10 1115 GVMI     CH        9.74       998877.00  -01
2014JUN10 1100 GVMI     CH        9.74       998877.00  -01
2014JUN10 1045 GVMI     CH        9.73       998877.00  -01
2014JUN10 1230 GVSI     CH        4.32       998877.00  -01
2014JUN10 1215 GVSI     CH        4.31       998877.00  -01
2014JUN10 1200 GVSI     CH        4.32       998877.00  -01
2014JUN10 1145 GVSI     CH        4.33       998877.00  -01
2014JUN10 1130 GVSI     CH        4.33       998877.00  -01
2014JUN10 1115 GVSI     CH        4.32       998877.00  -01
2014JUN10 1100 GVSI     CH        4.33       998877.00  -01
2014JUN10 1045 GVSI     CH        4.34       998877.00  -01
2014JUN10 1200 GVII     BV        4.35       998877.00  -01
2014JUN10 1200 IMNO     GH        3.46       998877.00  -01
2014JUN10 1145 IMNO     GH        3.47       998877.00  -01
2014JUN10 1130 IMNO     GH        3.46       998877.00  -01
2014JUN10 1115 IMNO     GH        3.47       998877.00  -01
2014JUN10 1100 IMNO     GH        3.48       998877.00  -01
2014JUN10 1045 IMNO     GH        3.48       998877.00  -01
2014JUN10 1030 IMNO     GH        3.49       998877.00  -01
2014JUN10 1015 IMNO     GH        3.49       998877.00  -01
2014JUN10 1200 IMNO     BV        13.74      998877.00  -01
2014JUN10 1300 BILI     GH        3.69       998877.00  -01
2014JUN10 1245 BILI     GH        3.72       998877.00  -01
2014JUN10 1230 BILI     GH        3.71       998877.00  -01
2014JUN10 1215 BILI     GH        3.70       998877.00  -01
2014JUN10 1200 BILI     GH        3.69       998877.00  -01
2014JUN10 1145 BILI     GH        3.70       998877.00  -01
2014JUN10 1130 BILI     GH        3.69       998877.00  -01
2014JUN10 1115 BILI     GH        3.71       998877.00  -01
2014JUN10 1300 BILI     BV        16.25      998877.00  -01
2014JUN10 1215 PRRO     GH        1.55       998877.00  -01
2014JUN10 1200 PRRO     GH        1.55       998877.00  -01
2014JUN10 1145 PRRO     GH        1.55       998877.00  -01
2014JUN10 1130 PRRO     GH        1.55       998877.00  -01
2014JUN10 1115 PRRO     GH        1.55       998877.00  -01
2014JUN10 1100 PRRO     GH        1.55       998877.00  -01
2014JUN10 1045 PRRO     GH        1.56       998877.00  -01
2014JUN10 1030 PRRO     GH        1.56       998877.00  -01
2014JUN10 1200 PRRO     BV        9.05       998877.00  -01
2014JUN10 1315 SQWI     GH        3.16       998877.00  -01
2014JUN10 1300 SQWI     GH        3.17       998877.00  -01
2014JUN10 1245 SQWI     GH        3.19       998877.00  -01
2014JUN10 1230 SQWI     GH        3.23       998877.00  -01
2014JUN10 1215 SQWI     GH        3.24       998877.00  -01
2014JUN10 1200 SQWI     GH        3.26       998877.00  -01
2014JUN10 1145 SQWI     GH        3.28       998877.00  -01
2014JUN10 1130 SQWI     GH        3.30       998877.00  -01
2014JUN10 1300 SQWI     BV        13.74      998877.00  -01
2014JUN10 1315 BOMI     GH        1.13       998877.00  -01
2014JUN10 1300 BOMI     GH        1.13       998877.00  -01
2014JUN10 1245 BOMI     GH        1.13       998877.00  -01
2014JUN10 1230 BOMI     GH        1.13       998877.00  -01
2014JUN10 1215 BOMI     GH        1.12       998877.00  -01
2014JUN10 1200 BOMI     GH        1.10       998877.00  -01
2014JUN10 1145 BOMI     GH        1.09       998877.00  -01
2014JUN10 1130 BOMI     GH        1.09       998877.00  -01
2014JUN10 1300 BOMI     BV        13.74      998877.00  -01
2014JUN10 1330 MALO     GH        5.98       998877.00  -01
2014JUN10 1315 MALO     GH        5.99       998877.00  -01
2014JUN10 1300 MALO     GH        5.99       998877.00  -01
2014JUN10 1245 MALO     GH        5.99       998877.00  -01
2014JUN10 1230 MALO     GH        5.99       998877.00  -01
2014JUN10 1215 MALO     GH        6.00       998877.00  -01
2014JUN10 1200 MALO     GH        6.00       998877.00  -01
2014JUN10 1145 MALO     GH        6.00       998877.00  -01
2014JUN10 1330 MALO     WF        67.30      998877.00  -01
2014JUN10 1315 MALO     WF        66.90      998877.00  -01
2014JUN10 1300 MALO     WF        66.70      998877.00  -01
2014JUN10 1245 MALO     WF        66.50      998877.00  -01
2014JUN10 1230 MALO     WF        66.30      998877.00  -01
2014JUN10 1215 MALO     WF        66.10      998877.00  -01
