yyyyMMMdd hhmm cbtt     PC        NewValue   OldValue   Flag user:hydromet # DECODES output
2014DEC15 0615 LAPO     GH        3.54       998877.00  -01
2014DEC15 0600 LAPO     GH        3.54       998877.00  -01
2014DEC15 0545 LAPO     GH        3.54       998877.00  -01
2014DEC15 0530 LAPO     GH        3.54       998877.00  -01
2014DEC15 0615 LAPO     WF        34.40      998877.00  -01
2014DEC15 0600 LAPO     WF        34.42      998877.00  -01
2014DEC15 0545 LAPO     WF        34.44      998877.00  -01
2014DEC15 0530 LAPO     WF        34.45      998877.00  -01
2014DEC15 0600 LAPO     BV        12.49      998877.00  -01
2014DEC15 0515 LAPO     GH        3.54       998877.00  -01
2014DEC15 0500 LAPO     GH        3.54       998877.00  -01
2014DEC15 0445 LAPO     GH        3.54       998877.00  -01
2014DEC15 0430 LAPO     GH        3.54       998877.00  -01
2014DEC15 0515 LAPO     WF        34.46      998877.00  -01
2014DEC15 0500 LAPO     WF        34.47      998877.00  -01
2014DEC15 0445 LAPO     WF        34.46      998877.00  -01
2014DEC15 0430 LAPO     WF        34.46      998877.00  -01
2014DEC15 0500 LAPO     BV        12.49      998877.00  -01
