yyyyMMMdd hhmm cbtt     PC        NewValue   OldValue   Flag user:hydromet # DECODES output
2015JAN21 0830 MABO     GH        2.51       998877.00  -01
2015JAN21 0815 MABO     GH        2.52       998877.00  -01
2015JAN21 0800 MABO     GH        2.54       998877.00  -01
2015JAN21 0745 MABO     GH        2.55       998877.00  -01
2015JAN21 0730 MABO     GH        2.57       998877.00  -01
2015JAN21 0715 MABO     GH        2.58       998877.00  -01
2015JAN21 0700 MABO     GH        2.60       998877.00  -01
2015JAN21 0645 MABO     GH        2.61       998877.00  -01
2015JAN21 0830 MABO     WF        33.60      998877.00  -01
2015JAN21 0815 MABO     WF        33.60      998877.00  -01
2015JAN21 0800 MABO     WF        33.50      998877.00  -01
2015JAN21 0745 MABO     WF        33.60      998877.00  -01
2015JAN21 0730 MABO     WF        33.60      998877.00  -01
2015JAN21 0715 MABO     WF        33.50      998877.00  -01
2015JAN21 0700 MABO     WF        33.50      998877.00  -01
2015JAN21 0645 MABO     WF        33.50      998877.00  -01
2015JAN21 0800 MABO     BATVOLT   12.24      998877.00  -01
2015JAN21 0730 MABO     GH        2.57       998877.00  -01
2015JAN21 0715 MABO     GH        2.58       998877.00  -01
2015JAN21 0700 MABO     GH        2.60       998877.00  -01
2015JAN21 0645 MABO     GH        2.61       998877.00  -01
2015JAN21 0630 MABO     GH        2.63       998877.00  -01
2015JAN21 0615 MABO     GH        2.64       998877.00  -01
2015JAN21 0600 MABO     GH        2.65       998877.00  -01
2015JAN21 0545 MABO     GH        2.66       998877.00  -01
2015JAN21 0730 MABO     WF        33.60      998877.00  -01
2015JAN21 0715 MABO     WF        33.50      998877.00  -01
2015JAN21 0700 MABO     WF        33.50      998877.00  -01
2015JAN21 0645 MABO     WF        33.50      998877.00  -01
2015JAN21 0630 MABO     WF        33.60      998877.00  -01
2015JAN21 0615 MABO     WF        33.50      998877.00  -01
2015JAN21 0600 MABO     WF        33.60      998877.00  -01
2015JAN21 0545 MABO     WF        33.60      998877.00  -01
2015JAN21 0700 MABO     BATVOLT   12.24      998877.00  -01
2015JAN21 0630 MABO     GH        2.63       998877.00  -01
2015JAN21 0615 MABO     GH        2.64       998877.00  -01
2015JAN21 0600 MABO     GH        2.65       998877.00  -01
2015JAN21 0545 MABO     GH        2.66       998877.00  -01
2015JAN21 0530 MABO     GH        2.67       998877.00  -01
2015JAN21 0515 MABO     GH        2.69       998877.00  -01
2015JAN21 0500 MABO     GH        2.70       998877.00  -01
2015JAN21 0445 MABO     GH        2.71       998877.00  -01
2015JAN21 0630 MABO     WF        33.60      998877.00  -01
2015JAN21 0615 MABO     WF        33.50      998877.00  -01
2015JAN21 0600 MABO     WF        33.60      998877.00  -01
2015JAN21 0545 MABO     WF        33.60      998877.00  -01
2015JAN21 0530 MABO     WF        33.50      998877.00  -01
2015JAN21 0515 MABO     WF        33.50      998877.00  -01
2015JAN21 0500 MABO     WF        33.50      998877.00  -01
2015JAN21 0445 MABO     WF        33.50      998877.00  -01
2015JAN21 0600 MABO     BATVOLT   12.24      998877.00  -01
2015JAN21 0530 MABO     GH        2.67       998877.00  -01
2015JAN21 0515 MABO     GH        2.69       998877.00  -01
2015JAN21 0500 MABO     GH        2.70       998877.00  -01
2015JAN21 0445 MABO     GH        2.71       998877.00  -01
2015JAN21 0430 MABO     GH        2.72       998877.00  -01
2015JAN21 0415 MABO     GH        2.73       998877.00  -01
2015JAN21 0400 MABO     GH        2.73       998877.00  -01
2015JAN21 0345 MABO     GH        2.73       998877.00  -01
2015JAN21 0530 MABO     WF        33.50      998877.00  -01
2015JAN21 0515 MABO     WF        33.50      998877.00  -01
2015JAN21 0500 MABO     WF        33.50      998877.00  -01
2015JAN21 0445 MABO     WF        33.50      998877.00  -01
2015JAN21 0430 MABO     WF        33.50      998877.00  -01
2015JAN21 0415 MABO     WF        33.60      998877.00  -01
2015JAN21 0400 MABO     WF        33.50      998877.00  -01
2015JAN21 0345 MABO     WF        33.60      998877.00  -01
2015JAN21 0500 MABO     BATVOLT   12.24      998877.00  -01
2015JAN21 0430 MABO     GH        2.72       998877.00  -01
2015JAN21 0415 MABO     GH        2.73       998877.00  -01
2015JAN21 0400 MABO     GH        2.73       998877.00  -01
2015JAN21 0345 MABO     GH        2.73       998877.00  -01
2015JAN21 0330 MABO     GH        2.72       998877.00  -01
2015JAN21 0315 MABO     GH        2.71       998877.00  -01
2015JAN21 0300 MABO     GH        2.70       998877.00  -01
2015JAN21 0245 MABO     GH        2.68       998877.00  -01
2015JAN21 0430 MABO     WF        33.50      998877.00  -01
2015JAN21 0415 MABO     WF        33.60      998877.00  -01
2015JAN21 0400 MABO     WF        33.50      998877.00  -01
2015JAN21 0345 MABO     WF        33.60      998877.00  -01
2015JAN21 0330 MABO     WF        33.50      998877.00  -01
2015JAN21 0315 MABO     WF        33.50      998877.00  -01
2015JAN21 0300 MABO     WF        33.60      998877.00  -01
2015JAN21 0245 MABO     WF        33.50      998877.00  -01
2015JAN21 0400 MABO     BATVOLT   12.24      998877.00  -01
2015JAN21 0330 MABO     GH        2.72       998877.00  -01
2015JAN21 0315 MABO     GH        2.71       998877.00  -01
2015JAN21 0300 MABO     GH        2.70       998877.00  -01
2015JAN21 0245 MABO     GH        2.68       998877.00  -01
2015JAN21 0230 MABO     GH        2.67       998877.00  -01
2015JAN21 0215 MABO     GH        2.67       998877.00  -01
2015JAN21 0200 MABO     GH        2.66       998877.00  -01
2015JAN21 0145 MABO     GH        2.65       998877.00  -01
2015JAN21 0330 MABO     WF        33.50      998877.00  -01
2015JAN21 0315 MABO     WF        33.50      998877.00  -01
2015JAN21 0300 MABO     WF        33.60      998877.00  -01
2015JAN21 0245 MABO     WF        33.50      998877.00  -01
2015JAN21 0230 MABO     WF        33.50      998877.00  -01
2015JAN21 0215 MABO     WF        33.50      998877.00  -01
2015JAN21 0200 MABO     WF        33.60      998877.00  -01
2015JAN21 0145 MABO     WF        33.50      998877.00  -01
2015JAN21 0300 MABO     BATVOLT   12.24      998877.00  -01
2015JAN21 0230 MABO     GH        2.67       998877.00  -01
2015JAN21 0215 MABO     GH        2.67       998877.00  -01
2015JAN21 0200 MABO     GH        2.66       998877.00  -01
2015JAN21 0145 MABO     GH        2.65       998877.00  -01
2015JAN21 0130 MABO     GH        2.64       998877.00  -01
