yyyyMMMdd hhmm cbtt     PC        NewValue   OldValue   Flag user:hydromet # DECODES output
2015JUL08 1330 DEDEWS   IN1L_A    69.78      998877.00  -01
2015JUL08 1330 DEDEWS   IN1L_B    72.85      998877.00  -01
2015JUL08 1330 DEDEWS   IN1U_A    53.60      998877.00  -01
2015JUL08 1330 DEDEWS   IN1U_B    13.00      998877.00  -20
2015JUL08 1330 DEDEWS   IN2L_A    -1310.72   998877.00  -20
2015JUL08 1330 DEDEWS   IN2L_B    65.56      998877.00  -01
2015JUL08 1330 DEDEWS   IN2U_A    59.96      998877.00  -01
2015JUL08 1330 DEDEWS   TC1B_T    66.49      998877.00  -01
2015JUL08 1330 DEDEWS   TC2A_T    45.44      998877.00  -01
2015JUL08 1330 DEDEWS   TC2B_T    -1310.72   998877.00  -20
2015JUL08 1330 DED      WC5334    22.10      998877.00  -01
2015JUL08 1315 DED      WC5334    21.90      998877.00  -01
2015JUL08 1300 DED      WC5334    21.80      998877.00  -01
2015JUL08 1245 DED      WC5334    21.60      998877.00  -01
2015JUL08 1330 DED      WC5331    22.10      998877.00  -01
2015JUL08 1315 DED      WC5331    22.00      998877.00  -01
2015JUL08 1300 DED      WC5331    21.90      998877.00  -01
2015JUL08 1245 DED      WC5331    21.80      998877.00  -01
2015JUL08 1230 DEDEWS   BATVOLT   12.34      998877.00  -01
2015JUL08 1230 DEDEWS   SS1N      57.00      998877.00  -01
2015JUL08 1230 DEDEWS   TCREF     22.77      998877.00  -01
2015JUL08 1230 DEDEWS   VW02_1    11.00      998877.00  -20
2015JUL08 1230 DEDEWS   VW02_2    22.55      998877.00  -01
2015JUL08 1230 DEDEWS   VW95_1    94.89      998877.00  -01
2015JUL08 1230 DEDEWS   VW95_2    89.51      998877.00  -01
2015JUL08 1230 DEDEWS   VW95_6    43.42      998877.00  -01
2015JUL08 1230 DEDEWS   VWEX_3A   -0.01      998877.00  -01
2015JUL08 1230 DEDEWS   VWEX_3B   0.06       998877.00  -01
2015JUL08 1230 DEDEWS   VWEX_3C   0.17       998877.00  -01
2015JUL08 1230 DEDEWS   VWEX_3D   12.00      998877.00  -22
2015JUL08 1230 DEDEWS   VWEX_3E   0.06       998877.00  -01
2015JUL08 1230 DEDEWS   VWEXTMP   78.00      998877.00  -01
2015JUL08 1230 DED      WC5334    21.40      998877.00  -01
2015JUL08 1215 DED      WC5334    21.10      998877.00  -01
2015JUL08 1200 DED      WC5334    20.80      998877.00  -01
2015JUL08 1145 DED      WC5334    20.50      998877.00  -01
2015JUL08 1230 DED      WC5331    21.50      998877.00  -01
2015JUL08 1215 DED      WC5331    21.30      998877.00  -01
2015JUL08 1200 DED      WC5331    21.10      998877.00  -01
2015JUL08 1145 DED      WC5331    20.90      998877.00  -01
2015JUL08 1130 DED      WC5334    20.10      998877.00  -01
2015JUL08 1115 DED      WC5334    19.60      998877.00  -01
2015JUL08 1100 DED      WC5334    19.10      998877.00  -01
2015JUL08 1045 DED      WC5334    18.60      998877.00  -01
2015JUL08 1130 DED      WC5331    20.60      998877.00  -01
2015JUL08 1115 DED      WC5331    20.20      998877.00  -01
2015JUL08 1100 DED      WC5331    19.80      998877.00  -01
2015JUL08 1045 DED      WC5331    19.50      998877.00  -01
