yyyyMMMdd hhmm cbtt     PC        NewValue   OldValue   Flag user:hydromet # DECODES output
2017MAR20 1115 AGA      BV        12.70      998877.00  -01
2017MAR20 1100 AGA      BV        12.70      998877.00  -01
2017MAR20 1045 AGA      BV        12.70      998877.00  -01
2017MAR20 1030 AGA      BV        12.60      998877.00  -01
2017MAR20 1115 AGA      CH        0.10       998877.00  -01
2017MAR20 1100 AGA      CH        0.10       998877.00  -01
2017MAR20 1045 AGA      CH        0.10       998877.00  -01
2017MAR20 1030 AGA      CH        0.10       998877.00  -01
2017MAR20 1115 AGA      FB        1510.13    998877.00  -01
2017MAR20 1100 AGA      FB        1510.13    998877.00  -01
2017MAR20 1045 AGA      FB        1510.13    998877.00  -01
2017MAR20 1030 AGA      FB        1510.13    998877.00  -01
2017MAR20 1115 AGA      GH        0.44       998877.00  -01
2017MAR20 1100 AGA      GH        0.61       998877.00  -01
2017MAR20 1045 AGA      GH        0.64       998877.00  -01
2017MAR20 1030 AGA      GH        0.97       998877.00  -01
2017MAR20 1115 AGA      OB        53.55      998877.00  -01
2017MAR20 1100 AGA      OB        52.89      998877.00  -01
2017MAR20 1045 AGA      OB        52.44      998877.00  -01
2017MAR20 1030 AGA      OB        52.57      998877.00  -01
2017MAR20 1115 AGA      PC        24.22      998877.00  -01
2017MAR20 1100 AGA      PC        24.22      998877.00  -01
2017MAR20 1045 AGA      PC        24.22      998877.00  -01
2017MAR20 1030 AGA      PC        24.22      998877.00  -01
2017MAR20 1115 AGA      TV        53.48      998877.00  -01
2017MAR20 1100 AGA      TV        53.52      998877.00  -01
2017MAR20 1045 AGA      TV        53.56      998877.00  -01
2017MAR20 1030 AGA      TV        53.61      998877.00  -01
2017MAR20 1115 AGA      XAC       110.98     998877.00  -01
2017MAR20 1100 AGA      XAC       110.98     998877.00  -01
2017MAR20 1045 AGA      XAC       110.98     998877.00  -01
2017MAR20 1030 AGA      XAC       110.98     998877.00  -01
2017MAR20 1100 AGA      BATVOLT   13.12      998877.00  -01
2017MAR20 1122 AGA      PARITY    0.00       998877.00  -01
2017MAR20 1122 AGA      POWER     37.00      998877.00  -01
2017MAR20 1122 AGA      MSGLEN    102.00     998877.00  -01
2017MAR20 1122 AGA      LENERR    0.00       998877.00  -01
2017MAR20 1122 AGA      TIMEERR   1.87       998877.00  -01
2017MAR14 0915 AGA      BV        12.80      998877.00  -01
2017MAR14 0900 AGA      BV        12.80      998877.00  -01
2017MAR14 0845 AGA      BV        12.80      998877.00  -01
2017MAR14 0830 AGA      BV        12.70      998877.00  -01
2017MAR14 0915 AGA      CH        0.05       998877.00  -01
2017MAR14 0900 AGA      CH        0.05       998877.00  -01
2017MAR14 0845 AGA      CH        0.05       998877.00  -01
2017MAR14 0830 AGA      CH        0.05       998877.00  -01
2017MAR14 0915 AGA      FB        1509.89    998877.00  -01
2017MAR14 0900 AGA      FB        1509.89    998877.00  -01
2017MAR14 0845 AGA      FB        1509.89    998877.00  -01
2017MAR14 0830 AGA      FB        1509.89    998877.00  -01
2017MAR14 0915 AGA      GH        -0.08      998877.00  -01
2017MAR14 0900 AGA      GH        -0.08      998877.00  -01
2017MAR14 0845 AGA      GH        -0.08      998877.00  -01
2017MAR14 0830 AGA      GH        -0.08      998877.00  -01
2017MAR14 0915 AGA      OB        47.73      998877.00  -01
2017MAR14 0900 AGA      OB        48.15      998877.00  -01
2017MAR14 0845 AGA      OB        46.08      998877.00  -01
2017MAR14 0830 AGA      OB        45.66      998877.00  -01
2017MAR14 0915 AGA      PC        23.31      998877.00  -01
2017MAR14 0900 AGA      PC        23.31      998877.00  -01
2017MAR14 0845 AGA      PC        23.31      998877.00  -01
2017MAR14 0830 AGA      PC        23.31      998877.00  -01
2017MAR14 0915 AGA      TV        51.57      998877.00  -01
2017MAR14 0900 AGA      TV        51.67      998877.00  -01
2017MAR14 0845 AGA      TV        51.75      998877.00  -01
2017MAR14 0830 AGA      TV        51.85      998877.00  -01
2017MAR14 0915 AGA      XAC       110.99     998877.00  -01
2017MAR14 0900 AGA      XAC       110.98     998877.00  -01
2017MAR14 0845 AGA      XAC       110.98     998877.00  -01
2017MAR14 0830 AGA      XAC       110.98     998877.00  -01
2017MAR14 0900 AGA      BATVOLT   13.12      998877.00  -01
2017MAR14 0922 AGA      PARITY    0.00       998877.00  -01
2017MAR14 0922 AGA      POWER     38.00      998877.00  -01
2017MAR14 0922 AGA      MSGLEN    102.00     998877.00  -01
2017MAR14 0922 AGA      LENERR    0.00       998877.00  -01
2017MAR14 0922 AGA      TIMEERR   1.86       998877.00  -01
