yyyyMMMdd hhmm cbtt     PC        NewValue   OldValue   Flag user:hydromet # DECODES output
2017MAR21 0015 AGA      BV        12.60      998877.00  -01
2017MAR21 0000 AGA      BV        12.60      998877.00  -01
2017MAR20 2345 AGA      BV        12.60      998877.00  -01
2017MAR20 2330 AGA      BV        12.60      998877.00  -01
2017MAR21 0015 AGA      CH        0.06       998877.00  -01
2017MAR21 0000 AGA      CH        0.06       998877.00  -01
2017MAR20 2345 AGA      CH        0.06       998877.00  -01
2017MAR20 2330 AGA      CH        0.07       998877.00  -01
2017MAR21 0015 AGA      FB        1510.10    998877.00  -01
2017MAR21 0000 AGA      FB        1510.10    998877.00  -01
2017MAR20 2345 AGA      FB        1510.10    998877.00  -01
2017MAR20 2330 AGA      FB        1510.10    998877.00  -01
2017MAR21 0015 AGA      GH        0.90       998877.00  -01
2017MAR21 0000 AGA      GH        0.81       998877.00  -01
2017MAR20 2345 AGA      GH        0.36       998877.00  -01
2017MAR20 2330 AGA      GH        0.26       998877.00  -01
2017MAR21 0015 AGA      OB        53.09      998877.00  -01
2017MAR21 0000 AGA      OB        53.75      998877.00  -01
2017MAR20 2345 AGA      OB        54.95      998877.00  -01
2017MAR20 2330 AGA      OB        56.44      998877.00  -01
2017MAR21 0015 AGA      PC        24.22      998877.00  -01
2017MAR21 0000 AGA      PC        24.22      998877.00  -01
2017MAR20 2345 AGA      PC        24.22      998877.00  -01
2017MAR20 2330 AGA      PC        24.22      998877.00  -01
2017MAR21 0015 AGA      TV        55.37      998877.00  -01
2017MAR21 0000 AGA      TV        55.38      998877.00  -01
2017MAR20 2345 AGA      TV        55.38      998877.00  -01
2017MAR20 2330 AGA      TV        55.41      998877.00  -01
2017MAR21 0015 AGA      XAC       110.98     998877.00  -01
2017MAR21 0000 AGA      XAC       110.98     998877.00  -01
2017MAR20 2345 AGA      XAC       110.97     998877.00  -01
2017MAR20 2330 AGA      XAC       110.97     998877.00  -01
2017MAR21 0000 AGA      BATVOLT   13.12      998877.00  -01
2017MAR21 0022 AGA      PARITY    0.00       998877.00  -01
2017MAR21 0022 AGA      POWER     38.00      998877.00  -01
2017MAR21 0022 AGA      MSGLEN    102.00     998877.00  -01
2017MAR21 0022 AGA      LENERR    0.00       998877.00  -01
2017MAR21 0022 AGA      TIMEERR   1.88       998877.00  -01
