Date,value
2006-11-02,0
2006-11-03,1
2006-11-04,2
2006-11-05,3
2006-11-06,4
2006-11-07,5
2006-11-08,6
2006-11-09,7
2006-11-10,8
2006-11-11,9
2006-11-12,10
2006-11-13,11
2006-11-14,12
2006-11-15,13
2006-11-16,14
2006-11-17,15
2006-11-18,16
2006-11-19,17
2006-11-20,18
2006-11-21,19
2006-11-22,20
2006-11-23,21
2006-11-24,22
2006-11-25,23
2006-11-26,24
2006-11-27,25
2006-11-28,26
2006-11-29,27
2006-11-30,28
2006-12-01,29
2006-12-02,30
2006-12-03,31
2006-12-04,32
2006-12-05,33
2006-12-06,34
2006-12-07,35
2006-12-08,36
2006-12-09,37
2006-12-10,38
2006-12-11,39
2006-12-12,40
2006-12-13,41
2006-12-14,42
2006-12-15,43
2006-12-16,44
2006-12-17,45
2006-12-18,46
2006-12-19,47
2006-12-20,48
2006-12-21,49
2006-12-22,50
2006-12-23,51
2006-12-24,52
2006-12-25,53
2006-12-26,54
2006-12-27,55
2006-12-28,56
2006-12-29,57
2006-12-30,58
2006-12-31,59
2007-01-01,60
2007-01-02,61
2007-01-03,62
2007-01-04,63
2007-01-05,64
2007-01-06,65
2007-01-07,66
2007-01-08,67
2007-01-09,68
2007-01-10,69
2007-01-11,70
2007-01-12,71
2007-01-13,72
2007-01-14,73
2007-01-15,74
2007-01-16,75
2007-01-17,76
2007-01-18,77
2007-01-19,78
2007-01-20,79
2007-01-21,80
2007-01-22,81
2007-01-23,82
2007-01-24,83
2007-01-25,84
2007-01-26,85
2007-01-27,86
2007-01-28,87
2007-01-29,88
2007-01-30,89
2007-01-31,90
2007-02-01,91
2007-02-02,92
2007-02-03,93
2007-02-04,94
2007-02-05,95
2007-02-06,96
2007-02-07,97
2007-02-08,98
2007-02-09,99
