Table ID:                    :BICW     Q      
Expiration Date:             :           
Description:                 :MOXEE DRAIN @ BIRCHFIELD ROAD        
Q       is a function of     :GH     
Interpolation Technique:     :LINEAR         
Q       Units:               :CFS  
GH      Units:               :FT   
Significant digits:          :0
Total Rows in Table:         :    35

! GH      value      Q       value
! -------------      -------------
  68.0000000         0.500000000    
  68.0999985          1.00000000    
  68.1999969          1.50000000    
  68.3000031          2.50000000    
  68.4000015          3.50000000    
  68.5000000          5.50000000    
  68.5999985          7.50000000    
  68.6999969          9.50000000    
  68.8000031          11.5000000    
  68.9000015          14.0000000    
  69.0000000          17.0000000    
  69.0999985          20.5000000    
  69.1999969          24.5000000    
  69.3000031          29.0000000    
  69.4000015          34.5000000    
  69.5000000          41.0000000    
  69.5999985          49.0000000    
  69.6999969          58.5000000    
  69.8000031          69.5000000    
  69.9000015          82.5000000    
  70.0000000          97.0000000    
  70.0999985          112.000000    
  70.1999969          127.500000    
  70.3000031          143.500000    
  70.4000015          160.000000    
  70.5000000          177.000000    
  70.5999985          194.500000    
  70.6999969          212.500000    
  70.8000031          231.000000    
  70.9000015          250.000000    
  71.0000000          269.500000    
  71.0999985          289.500000    
  71.1999969          310.000000    
  71.3000031          331.000000    
  71.4000015          353.000000    
