Table ID:                    :ETCW     QC
Expiration Date:             :
Description:                 :Ellensburg Town Canal
QC      is a function of     :CH
Interpolation Technique:     :LOGLOG
QC      Units:               :CFS
CH      Units:               :FT
Significant digits:          :0
Total Rows in Table:         :    14

! CH      value      QC      value
! -------------      -------------
 0.200000003         0.999999997E-06
 0.239999995          1.50000000
 0.300000012          5.50000000
 0.400000006          10.0000000
 0.500000000          15.0000000
 0.600000024          20.5000000
 0.750000000          29.0000000
 0.899999976          38.0000000
  1.10000002          50.5000000
  1.29999995          71.0000000
  1.50000000          98.0000000
  1.89999998          137.000000
  2.29999995          167.000000
  2.70000005          200.000000
