Bureau of Reclamation Hydromet System
Rating Table Expansion
Station GCL - Grand Coulee Dam, WA
Parameter AF - Reservoir Storage - Acre-Feet
Table Description: October 1977 Table 
Units are: AF 
Dependent Variable: Forebay Elevation - Feet - Hourly Average
Interpolation Type: Storage from Linear Res Area 
Rating shift adjustments have NOT been applied to this table. 
Table Edit Date: 8-DEC-2006 15:17
Today's Date: 28-FEB-2013 15:46 


 BEGIN TABLE
 FT   ,AF   
 1208.01, 456
 1208.02, 913
 1208.03, 1369
 1208.04, 1820
 1208.05, 2276
 1208.06, 2733
 1208.07, 3189
 1208.08, 3646
 1208.09, 4103
 1208.10, 4559
 1208.11, 5016
 1208.12, 5473
 1208.13, 5929
 1208.14, 6386
 1208.15, 6843
 1208.16, 7294
 1208.17, 7751
 1208.18, 8208
 1208.19, 8665
 1208.20, 9122
 1208.21, 9579
 1208.22, 10036
 1208.23, 10493
 1208.24, 10950
 1208.25, 11407
 1208.26, 11864
 1208.27, 12321
 1208.28, 12779
 1208.29, 13230
 1208.30, 13688
 1208.31, 14145
 1208.32, 14602
 1208.33, 15060
 1208.34, 15517
 1208.35, 15974
 1208.36, 16432
 1208.37, 16889
 1208.38, 17347
 1208.39, 17804
 1208.40, 18262
 1208.41, 18714
 1208.42, 19172
 1208.43, 19629
 1208.44, 20087
 1208.45, 20545
 1208.46, 21003
 1208.47, 21461
 1208.48, 21918
 1208.49, 22376
 1208.50, 22834
 1208.51, 23292
 1208.52, 23750
 1208.53, 24208
 1208.54, 24661
 1208.55, 25119
 1208.56, 25577
 1208.57, 26035
 1208.58, 26493
 1208.59, 26951
 1208.60, 27410
 1208.61, 27868
 1208.62, 28326
 1208.63, 28785
 1208.64, 29243
 1208.65, 29701
 1208.66, 30154
 1208.67, 30613
 1208.68, 31071
 1208.69, 31530
 1208.70, 31988
 1208.71, 32447
 1208.72, 32905
 1208.73, 33364
 1208.74, 33823
 1208.75, 34282
 1208.76, 34740
 1208.77, 35199
 1208.78, 35658
 1208.79, 36111
 1208.80, 36570
 1208.81, 37029
 1208.82, 37488
 1208.83, 37947
 1208.84, 38406
 1208.85, 38865
 1208.86, 39324
 1208.87, 39783
 1208.88, 40242
 1208.89, 40702
 1208.90, 41161
 1208.91, 41614
 1208.92, 42074
 1208.93, 42533
 1208.94, 42992
 1208.95, 43452
 1208.96, 43911
 1208.97, 44371
 1208.98, 44830
 1208.99, 45289
 1209.00, 45753
 1209.01, 46213
 1209.02, 46672
 1209.03, 47132
 1209.04, 47586
 1209.05, 48046
 1209.06, 48505
 1209.07, 48965
 1209.08, 49425
 1209.09, 49885
 1209.10, 50344
 1209.11, 50804
 1209.12, 51264
 1209.13, 51724
 1209.14, 52184
 1209.15, 52644
 1209.16, 53099
 1209.17, 53559
 1209.18, 54019
 1209.19, 54479
 1209.20, 54939
 1209.21, 55399
 1209.22, 55860
 1209.23, 56320
 1209.24, 56780
 1209.25, 57241
 1209.26, 57701
 1209.27, 58161
 1209.28, 58622
 1209.29, 59077
 1209.30, 59537
 1209.31, 59998
 1209.32, 60458
 1209.33, 60919
 1209.34, 61379
 1209.35, 61840
 1209.36, 62301
 1209.37, 62762
 1209.38, 63222
 1209.39, 63683
 1209.40, 64144
 1209.41, 64599
 1209.42, 65060
 1209.43, 65521
 1209.44, 65982
 1209.45, 66443
 1209.46, 66904
 1209.47, 67365
 1209.48, 67826
 1209.49, 68287
 1209.50, 68748
 1209.51, 69209
 1209.52, 69671
 1209.53, 70132
 1209.54, 70588
 1209.55, 71049
 1209.56, 71510
 1209.57, 71972
 1209.58, 72433
 1209.59, 72894
 1209.60, 73356
 1209.61, 73817
 1209.62, 74279
 1209.63, 74740
 1209.64, 75202
 1209.65, 75664
 1209.66, 76120
 1209.67, 76581
 1209.68, 77043
 1209.69, 77505
 1209.70, 77967
 1209.71, 78428
 1209.72, 78890
 1209.73, 79352
 1209.74, 79814
 1209.75, 80276
 1209.76, 80738
 1209.77, 81200
