A_ID,parentid,isfolder,sortorder,iconname,name,siteid,units,timeinterval,parameter,tablename,provider,connectionstring,expression,notes,enabled
19514,19406,0,1,,was_fb,was,,Irregular,fb,instant_was_fb,Series,,,,1
19515,19406,0,1,,was_gh,was,,Irregular,gh,instant_was_gh,Series,,,,1
19516,19406,0,1,,was_batvolt,was,,Irregular,batvolt,instant_was_batvolt,Series,,,,1
19517,19406,0,1,,was_parity,was,,Irregular,parity,instant_was_parity,Series,,,,1
19518,19406,0,1,,was_power,was,,Irregular,power,instant_was_power,Series,,,,1
19519,19406,0,1,,was_msglen,was,,Irregular,msglen,instant_was_msglen,Series,,,,1
19520,19406,0,1,,was_lenerr,was,,Irregular,lenerr,instant_was_lenerr,Series,,,,1
19521,19406,0,1,,was_timeerr,was,,Irregular,timeerr,instant_was_timeerr,Series,,,,1
19090,19089,0,1,,lowews_bv_c,lowews,,Irregular,bv_c,instant_lowews_bv_c,Series,,,,1
18863,18859,0,1,,csci_gh,csci,,Irregular,gh,instant_csci_gh,Series,,,,1
18864,18859,0,1,,csci_q,csci,,Irregular,q,instant_csci_q,Series,,,,1
18865,18859,0,1,,csci_wf,csci,,Irregular,wf,instant_csci_wf,Series,,,,1
18866,18859,0,1,,csci_batvolt,csci,,Irregular,batvolt,instant_csci_batvolt,Series,,,,1
18867,18859,0,1,,csci_parity,csci,,Irregular,parity,instant_csci_parity,Series,,,,1
18868,18859,0,1,,csci_power,csci,,Irregular,power,instant_csci_power,Series,,,,1
18869,18859,0,1,,csci_msglen,csci,,Irregular,msglen,instant_csci_msglen,Series,,,,1
18870,18859,0,1,,csci_lenerr,csci,,Irregular,lenerr,instant_csci_lenerr,Series,,,,1
18871,18859,0,1,,csci_timeerr,csci,,Irregular,timeerr,instant_csci_timeerr,Series,,,,1
18884,8231,0,1,,mili_batvolt,mili,,Irregular,batvolt,instant_mili_batvolt,Series,,,,1
18885,8231,0,1,,mili_parity,mili,,Irregular,parity,instant_mili_parity,Series,,,,1
18886,8231,0,1,,mili_power,mili,,Irregular,power,instant_mili_power,Series,,,,1
18887,8231,0,1,,mili_msglen,mili,,Irregular,msglen,instant_mili_msglen,Series,,,,1
18888,8231,0,1,,mili_lenerr,mili,,Irregular,lenerr,instant_mili_lenerr,Series,,,,1
18889,8231,0,1,,mili_timeerr,mili,,Irregular,timeerr,instant_mili_timeerr,Series,,,,1
18894,18892,0,1,,gli_fb2,gli,,Irregular,fb2,instant_gli_fb2,Series,,,,1
18895,18892,0,1,,gli_batvolt,gli,,Irregular,batvolt,instant_gli_batvolt,Series,,,,1
18896,18892,0,1,,gli_parity,gli,,Irregular,parity,instant_gli_parity,Series,,,,1
18897,18892,0,1,,gli_power,gli,,Irregular,power,instant_gli_power,Series,,,,1
18898,18892,0,1,,gli_msglen,gli,,Irregular,msglen,instant_gli_msglen,Series,,,,1
18899,18892,0,1,,gli_lenerr,gli,,Irregular,lenerr,instant_gli_lenerr,Series,,,,1
18900,18892,0,1,,gli_timeerr,gli,,Irregular,timeerr,instant_gli_timeerr,Series,,,,1
18901,14999,1,1,,instant,,,,,folder2017aug11150135912,Series,,,,1
18902,14999,1,2,,quality,,,,,folder2017aug11150136115,Series,,,,1
18903,18901,0,18903,,mil_fb,mil,feet,Irregular,fb,instant_mil_fb,Series,,,,1
18904,18901,0,18904,sum,mil_af,mil,acre-feet,Irregular,af,instant_mil_af,CalculationSeries,,"FileLookupInterpolate2D(mini_q,mil_fb,""mil_af_2d.txt"")",,1
18905,14928,1,1,,instant,,,,,folder2017aug11152119806,Series,,,,1
18906,18905,0,1,,pay_fb,pay,,Irregular,fb,instant_pay_fb,Series,,,,1
18907,18905,0,1,,pay_batvolt,pay,,Irregular,batvolt,instant_pay_batvolt,Series,,,,1
18908,18905,0,1,,pay_parity,pay,,Irregular,parity,instant_pay_parity,Series,,,,1
18909,18905,0,1,,pay_power,pay,,Irregular,power,instant_pay_power,Series,,,,1
18910,18905,0,1,,pay_msglen,pay,,Irregular,msglen,instant_pay_msglen,Series,,,,1
18911,18905,0,1,,pay_lenerr,pay,,Irregular,lenerr,instant_pay_lenerr,Series,,,,1
18912,18905,0,1,,pay_timeerr,pay,,Irregular,timeerr,instant_pay_timeerr,Series,,,,1
18914,14860,1,1,,instant,,,,,folder2017aug11153810379,Series,,,,1
18915,14860,1,2,,quality,,,,,folder2017aug11153810535,Series,,,,1
18916,18914,0,18916,,amf_fb,amf,feet,Irregular,fb,instant_amf_fb,Series,,,,1
18917,18914,0,18917,sum,amf_af,amf,acre-feet,Irregular,af,instant_amf_af,CalculationSeries,,"FileRatingTable(amf_fb,""amf_af.csv"")",,1
18918,14961,1,1,,instant,,,,,folder2017aug11153915106,Series,,,,1
18919,14961,1,2,,quality,,,,,folder2017aug11153915247,Series,,,,1
18920,18918,0,18920,,hen_fb,hen,feet,Irregular,fb,instant_hen_fb,Series,,,,1
18921,18918,0,18921,sum,hen_af,hen,acre-feet,Irregular,af,instant_hen_af,CalculationSeries,,"FileRatingTable(hen_fb,""hen_af.csv"")",,1
18922,14979,1,1,,instant,,,,,folder2017aug11154247811,Series,,,,1
18923,14979,1,2,,quality,,,,,folder2017aug11154247967,Series,,,,1
18924,18922,0,18924,,isl_fb,isl,feet,Irregular,fb,instant_isl_fb,Series,,,,1
18925,18922,0,18925,sum,isl_af,isl,acre-feet,Irregular,af,instant_isl_af,CalculationSeries,,"FileRatingTable(isl_fb,""isl_af.csv"")",,1
18926,18901,0,1,,mil_batvolt,mil,,Irregular,batvolt,instant_mil_batvolt,Series,,,,1
18927,18901,0,1,,mil_parity,mil,,Irregular,parity,instant_mil_parity,Series,,,,1
18928,18901,0,1,,mil_power,mil,,Irregular,power,instant_mil_power,Series,,,,1
18929,18901,0,1,,mil_msglen,mil,,Irregular,msglen,instant_mil_msglen,Series,,,,1
18930,18901,0,1,,mil_lenerr,mil,,Irregular,lenerr,instant_mil_lenerr,Series,,,,1
18931,18901,0,1,,mil_timeerr,mil,,Irregular,timeerr,instant_mil_timeerr,Series,,,,1
19755,15026,0,2930,sum,skry_mm,skry,,Daily,mm,daily_skry_mm,CalculationSeries,,DailyAverage(instant_skry_ob),,1
19753,19735,0,1,sum,eeeo_gj,eeeo,,Daily,gj,daily_eeeo_gj,CalculationSeries,,"DailyAverage(instant_%site%_ch,10)",,1
19754,19740,0,1,sum,fppo_gj,fppo,,Daily,gj,daily_fppo_gj,CalculationSeries,,"DailyAverage(instant_%site%_ch,10)",,1
10359,10356,0,10359,,wicews_gh,wicews,feet,Irregular,gh,instant_wicews_gh,Series,,,,1
19527,18922,0,18926,sum,isl_q,isl,,Irregular,q,instant_isl_q,CalculationSeries,,"FileLookupInterpolate2DIslandPark(isl_fb,isl_ra, isl_rb, ""isl_q_single.txt"",""isl_q_both.txt"")",,1
18946,18923,0,1,,isl_power,isl,,Irregular,power,instant_isl_power,Series,,,,1
51,2,1,20,,acki,acki,,,,,,,,,0
19556,8515,0,230,sum,amfi_mm,amfi,,Daily,mm,daily_amfi_mm,CalculationSeries,,DailyAverage(instant_amfi_ob),,1
20382,5634,1,8924,,bulo,,,,,folder2017nov16074111588,Series,,,,1
18947,18923,0,1,,isl_msglen,isl,,Irregular,msglen,instant_isl_msglen,Series,,,,1
18948,18923,0,1,,isl_lenerr,isl,,Irregular,lenerr,instant_isl_lenerr,Series,,,,1
18949,18923,0,1,,isl_timeerr,isl,,Irregular,timeerr,instant_isl_timeerr,Series,,,,1
18944,18923,0,1,,isl_batvolt,isl,,Irregular,batvolt,instant_isl_batvolt,Series,,,,1
18945,18923,0,1,,isl_parity,isl,,Irregular,parity,instant_isl_parity,Series,,,,1
19756,15026,0,2931,sum,skry_mx,skry,,Daily,mx,daily_skry_mx,CalculationSeries,,DailyMax(instant_skry_ob),,1
19757,15026,0,2932,sum,skry_mn,skry,,Daily,mn,daily_skry_mn,CalculationSeries,,DailyMin(instant_skry_ob),,1
4372,4358,0,2645,sum,pwln_ud,pwln,,Daily,ud,daily_pwln_ud,CalculationSeries,,DailyAzimuth(instant_%site%_wd),,1
4373,4358,0,2646,sum,pwln_wg,pwln,,Daily,wg,daily_pwln_wg,CalculationSeries,,DailyMax(instant_%site%_wg),,1
4374,4358,0,2647,sum,pwln_wr,pwln,,Daily,wr,daily_pwln_wr,CalculationSeries,,"DailySum(instant_%site%_ws,92)/4.0",,1
4375,4358,0,2648,sum,pwln_ym,pwln,,Daily,ym,daily_pwln_ym,CalculationSeries,,"DailyAverage(instant_%site%_tp,92)",,1
4371,4358,0,2644,sum,pwln_ua,pwln,,Daily,ua,daily_pwln_ua,CalculationSeries,,"DailyAverage(instant_%site%_ws,92)",,1
4370,4358,0,2642,sum,pwln_tg,pwln,,Daily,tg,daily_pwln_tg,CalculationSeries,,"DailyGrowingDegree(instant_%site%_obm,instant_%site%_obm,86.0,50.0)",,1
20383,20382,1,1,,instant,,,,,folder2017nov16074111666,Series,,,,1
19759,15026,0,2934,sum,skry_sp,skry,,Daily,sp,daily_skry_sp,CalculationSeries,,DailyMidnight(instant_skry_sp),,1
