siteid,description,state,latitude,longitude,elevation,timezone,install,horizontal_datum,vertical_datum,vertical_accuracy,elevation_method,tz_offset,active_flag,type,responsibility,agency_region
adatunco,ALVA B ADAMS TUNNEL @ E PORTAL NR ESTES PARK; CO,CO,40.32778,-105.5775,,,,,,0,,,,diversion,,GP
adawplco,ADAMS TUNNEL; WEST PORTAL; COLORADO,CO,40.24167,-105.80222,,,,,,0,,,,diversion,,GP
adne,AKERS DRAW DIVERSION INTO TRI-STATE CANAL; NEBRASKA,NE,41.975,-103.89166,,,,,,0,,,,diversion,,GP
agr,ANGOSTURA RESERVOIR (CHEYENNE RIVER BLW DAM); SD,SD,43.34333,-103.43833,,,,,,0,,,,reservoir,DKAO,GP
aine,LAKE ALICE RESERVOIR INFLOW; NEBRASKA,NE,41.99805,-103.63278,,,,,,0,,,,canal,,GP
alcr,ALCOVA RESERVOIR; WYOMING,WY,42.54889,-106.72056,,,,,,0,,,,reservoir,ECAO,GP
alfvalmt,ALFALFA VALLEY CANAL DIVERSION; MONTANA,MT,48.61028,-109.24416,,,,,,0,,,,canal,,GP
alks,ALMENA DIVERSION; KANSAS,KS,39.86611,-99.74722,,,,,,0,,,,diversion,,GP
altus,ALTUS DAM; OKLAHOMA,OK,34.8875,-99.29639,,,,,,0,,,,reservoir,OTAO,GP
anad,WASHITA RIVER NEAR ANADARKO; OKLAHOMA,OK,35.085,-98.24305,,,,,,0,,,,stream,,GP
ancr,ANCHOR RESERVOIR; SOUTH FORK OWL CREEK; WYOMING,WY,43.66389,-108.82417,,,,,,0,,,,reservoir,WYAO,GP
apsc,APISHAPA; COLORADO,CO,37.33333,-105.06667,9910,,,,,0,,,,snotel,,GP
arac,ARAPAHOE RIDGE; COLORADO,CO,40.35,-106.38333,10960,,,,,0,,,,snotel,,GP
arbuck,ARBUCKLE DAM (LAKE OF THE ARBUCKLES); OKLAHOMA,OK,34.43056,-97.03056,,,,,,0,,,,reservoir,OTAO,GP
argy,ARAGON DITCH; WYOMING,WY,43.19167,-108.78389,,,,,,0,,,,canal,,GP
arkavoco,ARKANSAS RIVER NEAR AVONDALE; COLORADO,CO,38.24805,-104.39861,,,,,,0,,,,stream,,GP
arkcanco,ARKANSAS RIVER AT CANYON CITY; COLORADO,CO,38.425,-105.26167,,,,,,0,,,,stream,,GP
arkgraco,ARKANSAS RIVER AT GRANADA; COLORADO,CO,38.09555,-102.31028,,,,,,0,,,,stream,,GP
arkgrnco,ARKANSAS RIVER AT GRANITE; COLORADO,CO,39.04278,-106.26527,,,,,,0,,,,stream,,GP
arknatco,ARKANSAS RIVER NEAR NATHROP; COLORADO,CO,38.65223,-106.05056,,,,,,0,,,,stream,,GP
arknepco,ARKANSAS RIVER NEAR NEPESTA; COLORADO,CO,38.18417,-104.17278,,,,,,0,,,,stream,,GP
arkporco,ARKANSAS RIVER AT PORTLAND; COLORADO,CO,38.38834,-105.01556,,,,,,0,,,,stream,,GP
arkpueco,ARKANSAS RIVER ABOVE PUEBLO; COLORADO,CO,38.27139,-104.71833,,,,,,0,,,,stream,,GP
arksalco,ARKANSAS RIVER AT SALIDA; COLORADO,CO,38.54583,-106.01,,,,,,0,,,,stream,,GP
arkwelco,ARKANSAS RIVER NEAR WELLSVILLE; COLORADO,CO,38.50278,-105.93972,,,,,,0,,,,stream,,GP
armt,ATASCOSA RIVER NEAR MCCOY; TEXAS,TX,28.84583,-98.33611,,,,,,0,,,,stream,,GP
arne,LAKE ALICE RESERVOIR ELEVATION; NEBRASKA,NE,41.98667,-103.63223,,,,,,0,,,,reservoir,WYAO,GP
arwt,ATASCOSA RIVER AT WHITSETT; TEXAS,TX,28.62194,-98.28111,,,,,,0,,,,stream,,GP
asnc,INDEPENDENCE PASS; COLORADO,CO,39.06667,-106.6,11720,,,,,0,,,,snotel,,GP
babm,ST. MARY RIVER NEAR BABB; MONTANA,MT,48.83333,-113.41888,,,,,,0,,,,stream,,GP
back,BATTLE CREEK NEAR CHINOOK; MONTANA,MT,48.58444,-109.09861,,,,,,0,,,,stream,,GP
badm,BADGER PASS; MONTANA,MT,48.13334,-113.03333,6900,,,,,0,,,,snotel,,GP
balm,BEAVERHEAD RIVER AT ANDERSON LANE; MONTANA,MT,48.30555,-112.56223,,,,,,0,,,,stream,,GP
bane,BARTLEY CANAL; NEBRASKA,NE,40.22361,-100.38223,,,,,,0,,,,canal,,GP
bawne,BARTLEY CANAL; WASTEWAY; NEBRASKA,NE,40.265,-100.04583,,,,,,0,,,,canal,,GP
bbne,BOX BUTTE DAM; NEBRASKA,NE,42.45834,-103.06667,,,,,,0,,,,reservoir,NKAO,GP
bbr,BUFFALO BILL RESERVOIR ON SHOSHONE RIVER; WYOMING,WY,44.50139,-109.18333,5360,,2/10/1989,,,0,,,,reservoir,WYAO,GP
bbrnfd,BUFFALO BILL RESERVOIR - NORTH FORK DIKE; WYOMING,WY,44.49167,-109.29166,,,,,,0,,,,reservoir,,GP
bbrsfd,BUFFALO BILL RESERVOIR - SOUTH FORK DIKE; WYOMING,WY,44.4425,-109.21249,,,,,,0,,,,reservoir,,GP
bbtm,BOULDER RIVER AT BIG TIMBER; MT,MT,45.83416,-109.93806,,,,,,0,,,,stream,,GP
bbws,BUFFALO BILL WEATHER STATION; WYOMING,WY,44.46778,-109.16722,5357,,,,,0,,,,weather,,GP
bbwy,BIGHORN RIVER AT BASIN; WYOMING,WY,44.38334,-108.03555,,,,,,0,,,,stream,,GP
bcbcne,BEAVER CREEK AT BEAVER CITY; NEBRASKA,NE,40.12,-99.89222,,,,,,0,,,,stream,,GP
bcbm,BEAVER CREEK @ RESERVATION BOUNDARY; MONTANA,MT,48.22167,-109.65083,,,,,,0,,,,stream,,GP
bccm,BIG COULEE BELOW BEALE CANAL; MT,MT,47.91695,-112.61861,,,,,,0,,,,stream,,GP
bchm,BEAVER CREEK NEAR HINSDALE; MONTANA,MT,48.41945,-107.17056,,,,,,0,,,,stream,,GP
bcib,BATTLE CREEK AT INTERNATIONAL BOUNDARY; MONTANA,MT,49.00195,-109.42166,,,,,,0,,,,stream,,GP
bclm,BIG COULEE LOWER; MT,MT,47.51778,-111.89,,,,,,0,,,,stream,,GP
bcwy,BLUFF CANAL; WYOMING,WY,43.87278,-108.13445,,,,,,0,,,,canal,,GP
bdcm,BADGER CREEK BLW FOUR HORNS CANAL NR BROWNING; MT,MT,48.37,-112.80195,,,,,,0,,,,stream,,GP
bdne,BARTLEY DIVERSION; NEBRASKA,NE,40.22917,-100.38333,,,,,,0,,,,diversion,,GP
beam,BEAGLE SPRINGS; MONTANA,MT,44.46667,-112.98333,8850,,,,,0,,,,snotel,,GP
belindmt,FORT BELKNAP INDIAN CANAL MAIN DIVERSION; MONTANA,MT,48.59639,-109.10027,,,,,,0,,,,canal,,GP
berthspc,BERTHOUD SUMMIT; COLORADO,CO,39.8,-105.76667,11320,,,,,0,,,,snotel,,GP
bevm,BEAVER CREEK; MONTANA,MT,44.95,-111.35,7850,,,,,0,,,,snotel,,GP
bevr,BEAVER CREEK RESERVOIR NEAR HAVRE; MONTANA,MT,43.66389,-108.82417,,,,,,0,,,,reservoir,,GP
bfam,BLACKFEET AGRIMET STATION NR SEVILLE COLONY; MONTANA,MT,48.675,-112.58889,3905,,,,,0,,,,agrimet,,GP
bfce,BELLE FOURCHE INLET CANAL EAST; SOUTH DAKOTA,SD,44.70139,-103.73333,,,,,,0,,,,canal,,GP
bfr,BELLE FOURCHE RESERVOIR NR BELLE FOURCHE; S. DAKOTA,SD,44.73667,-103.67416,,,,,,0,,,,reservoir,DKAO,GP
bftm,BIG FLAT NEAR TURNER WEATHER STATION; MONTANA,MT,48.83556,-108.56389,3103,,,,,0,,,,agrimet,,GP
bfwy,BELLE FOURCHE RVR @ WYOMING-SOUTH DAKOTA STATE LINE,WY,44.74972,-104.04694,,,,,,0,,,,stream,,GP
