 Wed Jan 19 06:57:29 PST 2011  NRCS National Water and Climate Center - Provisional Data - subject to revision
Site Id,Date,Time (),WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
679,2000-10-01,,     0.0,     0.0,     7.6,     9.1,     7.6,     8.5,
679,2000-10-02,,     0.0,     0.4,     0.0,     9.2,     0.0,     4.4,
679,2000-10-03,,     0.0,     0.4,     0.7,     6.6,    -0.7,     1.1,
679,2000-10-04,,     0.0,     0.4,     0.6,    10.0,    -1.8,     2.7,
679,2000-10-05,,     0.0,     0.4,     4.9,    13.3,    -1.2,     4.9,
679,2000-10-06,,     0.0,     0.4,     6.9,    10.7,     2.7,     6.1,
679,2000-10-07,,     0.0,     0.4,     7.7,    12.8,     5.4,     8.3,
679,2000-10-08,,     0.0,     0.4,     8.3,    20.4,     7.0,    11.6,
679,2000-10-09,,     0.0,     0.4,     8.9,    19.5,     5.8,    10.3,
679,2000-10-10,,     0.0,     0.6,     3.9,    10.0,     3.6,     6.0,
679,2000-10-11,,     0.0,     0.7,     1.9,     3.9,     1.8,     2.5,
679,2000-10-12,,     0.0,     0.7,     4.2,    12.9,     1.9,     6.1,
679,2000-10-13,,     0.0,     0.7,     2.5,     4.2,     2.4,     3.2,
679,2000-10-14,,     0.0,     0.9,     1.5,     8.8,     1.5,     4.0,
679,2000-10-15,,     0.0,     0.9,    -2.4,     2.4,    -2.4,     0.1,
679,2000-10-16,,     0.0,     0.9,     1.1,     8.3,    -2.2,     2.0,
679,2000-10-17,,     0.0,     2.1,     5.1,     6.1,     1.4,     4.3,
679,2000-10-18,,     0.0,     2.4,     5.3,    14.5,     4.1,     7.5,
679,2000-10-19,,     0.0,     3.2,    -1.1,     5.5,    -1.7,     2.3,
679,2000-10-20,,     0.0,     3.4,     5.7,    10.1,    -1.3,     3.5,
679,2000-10-21,,     0.0,     4.7,    -1.5,     6.6,    -1.6,     2.8,
679,2000-10-22,,     0.0,     5.0,    -4.2,    -0.3,    -4.2,    -1.8,
679,2000-10-23,,     0.0,     5.1,     7.5,     8.4,    -5.0,     2.0,
679,2000-10-24,,     0.0,     5.1,     4.6,    11.4,     3.6,     7.2,
679,2000-10-25,,     0.0,     5.1,     5.6,    13.7,     3.8,     6.5,
679,2000-10-26,,     0.0,     5.1,     4.9,     8.2,     4.6,     6.5,
679,2000-10-27,,     0.0,     5.1,     1.8,     6.7,     1.7,     3.8,
679,2000-10-28,,     0.1,     5.3,     2.2,     2.6,    -1.1,     1.4,
679,2000-10-29,,     0.4,     6.0,    -0.5,     2.1,    -1.7,    -0.4,
679,2000-10-30,,     0.4,     6.2,    -1.1,     1.6,    -1.5,    -0.2,
679,2000-10-31,,     0.4,     6.2,    -1.2,    10.3,    -2.9,     0.7,
679,2000-11-01,,     0.5,     6.3,    -2.1,     2.2,    -2.1,    -0.8,
679,2000-11-02,,     0.5,     6.3,     0.4,     6.7,    -4.4,     0.4,
679,2000-11-03,,     0.5,     6.4,     0.5,     2.7,    -0.4,     1.4,
679,2000-11-04,,     0.5,     6.4,     7.0,    12.3,    -0.1,     4.7,
679,2000-11-05,,     0.7,     7.0,    -2.5,     6.7,    -2.8,    -0.3,
679,2000-11-06,,     1.0,     7.3,    -1.3,    -0.5,    -3.1,    -1.7,
679,2000-11-07,,     1.0,     7.5,    -3.2,     1.4,    -3.4,    -0.8,
679,2000-11-08,,     1.2,     7.6,    -1.0,     2.5,    -3.7,    -1.0,
679,2000-11-09,,     2.4,     8.8,    -4.7,     1.9,    -5.6,    -3.1,
679,2000-11-10,,     2.2,     8.8,    -7.8,    -0.2,    -7.9,    -5.3,
679,2000-11-11,,     2.1,     8.8,   -10.6,    -4.5,   -10.6,    -8.2,
679,2000-11-12,,     2.1,     8.8,    -8.9,    -1.4,   -11.3,    -8.5,
679,2000-11-13,,     2.3,     8.9,    -4.7,     2.5,    -9.2,    -5.0,
679,2000-11-14,,     2.2,     8.9,    -7.8,    -3.4,    -7.8,    -5.3,
679,2000-11-15,,     2.2,     8.9,    -8.9,     1.0,    -8.9,    -6.2,
679,2000-11-16,,     2.2,     8.9,    -6.6,     0.8,    -9.2,    -6.0,
679,2000-11-17,,     2.3,     8.9,    -3.7,     3.0,    -7.4,    -4.5,
679,2000-11-18,,     2.4,     8.9,    -2.4,     3.9,    -3.9,    -1.4,
679,2000-11-19,,     2.7,     8.9,     0.2,     8.8,    -2.3,     1.9,
679,2000-11-20,,     2.6,     8.9,     2.9,     7.8,    -0.2,     2.6,
679,2000-11-21,,     2.4,     8.9,     0.8,     7.4,     0.8,     3.6,
679,2000-11-22,,     2.4,     8.9,     2.9,     8.4,    -0.2,     2.3,
679,2000-11-23,,     2.5,     9.0,     3.3,     9.7,     0.2,     3.5,
679,2000-11-24,,     3.2,     9.8,    -1.9,     4.3,    -2.1,     0.3,
679,2000-11-25,,     3.2,     9.9,    -3.2,     0.4,    -4.9,    -2.3,
679,2000-11-26,,     4.0,    10.5,    -3.2,     0.5,    -3.2,    -1.4,
679,2000-11-27,,     5.7,    11.5,    -2.5,    -1.2,    -3.1,    -2.1,
679,2000-11-28,,     5.9,    12.6,    -6.5,     2.1,    -6.8,    -4.0,
679,2000-11-29,,     6.1,    12.6,    -1.8,    -1.7,    -7.2,    -3.9,
679,2000-11-30,,     6.7,    13.1,    -2.0,    -0.5,    -3.1,    -2.0,
679,2000-12-01,,     7.1,    13.5,    -0.9,     2.6,    -2.3,    -1.2,
