 Tue Jan 18 13:35:35 PST 2011  NRCS National Water and Climate Center - Provisional Data - subject to revision
Site Id,Date,Time (),WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
679,2010-10-01,,     0.0,     0.0,    14.0,    19.9,    11.4,    15.0,       0,
679,2010-10-02,,     0.0,     0.0,    11.4,    19.8,    10.7,    14.6,       0,
679,2010-10-03,,     0.0,     0.0,    11.9,    18.2,    10.3,    13.5,       0,
679,2010-10-04,,     0.0,     0.0,     4.2,    11.9,     4.1,     7.1,       0,
679,2010-10-05,,     0.0,     0.0,     1.8,     4.4,     0.9,     2.8,       0,
679,2010-10-06,,     0.0,     0.0,    10.9,    11.4,    -0.2,     5.7,       0,
679,2010-10-07,,     0.0,     0.0,    11.0,    16.6,     7.8,    11.7,       0,
679,2010-10-08,,     0.0,     0.0,     3.8,    11.2,     3.8,     8.1,       0,
679,2010-10-09,,     0.0,     0.0,     7.8,    10.9,     3.5,     7.0,       0,
679,2010-10-10,,     0.0,     2.8,    10.5,    10.8,     6.8,     8.5,       0,
679,2010-10-11,,     0.0,     4.0,     1.5,    10.5,     1.5,     5.6,       0,
679,2010-10-12,,     0.0,     4.0,     2.9,     4.5,    -0.4,     1.8,       0,
679,2010-10-13,,     0.0,     4.1,     9.7,    13.6,     2.7,     8.1,       0,
679,2010-10-14,,     0.0,     4.1,    10.0,    19.5,     9.2,    12.9,       0,
679,2010-10-15,,     0.0,     4.1,    -0.8,    13.8,    -0.8,     7.9,       0,
679,2010-10-16,,     0.0,     4.1,     3.1,     6.3,    -1.3,     1.6,       0,
679,2010-10-17,,     0.0,     4.1,     1.8,     7.6,     1.2,     3.4,       0,
679,2010-10-18,,     0.0,     4.1,     4.6,    10.2,     1.0,     5.1,       0,
679,2010-10-19,,     0.0,     4.1,     6.9,    11.6,     3.6,     6.5,       0,
679,2010-10-20,,     0.0,     4.2,    10.8,    14.7,     5.9,    10.0,       0,
679,2010-10-21,,     0.0,     4.2,     9.2,    17.1,     9.0,    12.1,       0,
679,2010-10-22,,     0.0,     4.2,     5.7,    13.7,     4.9,     8.4,       0,
679,2010-10-23,,     0.0,     4.3,     2.3,     7.2,     2.2,     4.0,       0,
679,2010-10-24,,     0.4,     5.2,     1.5,     4.8,     1.2,     3.0,       0,
679,2010-10-25,,     1.9,     6.4,    -0.2,     3.0,    -0.5,     0.7,       8,
679,2010-10-26,,     3.4,     8.5,    -2.1,     0.8,    -2.1,    -0.4,      15,
679,2010-10-27,,     6.0,     9.6,     0.0,     0.0,    -2.0,    -1.0,      37,
679,2010-10-28,,     6.1,    11.1,     1.9,     3.0,    -1.3,     1.0,      32,
679,2010-10-29,,     6.1,    11.6,     1.0,     3.7,     1.0,     2.0,      29,
679,2010-10-30,,     6.2,    11.7,     1.2,     6.0,     0.6,     2.0,      23,
679,2010-10-31,,     6.7,    12.4,     2.1,     4.0,     0.2,     2.4,      20,
679,2010-11-01,,     7.2,    12.6,     4.4,     5.6,     0.1,     1.7,      21,
679,2010-11-02,,     7.0,    14.5,     2.5,     6.7,     2.4,     5.2,      14,
679,2010-11-03,,     6.6,    14.6,     8.5,     9.0,     1.6,     5.7,      16,
679,2010-11-04,,     6.3,    14.6,    10.8,    11.5,     6.3,     8.9,      14,
679,2010-11-05,,     5.9,    14.6,    11.8,    18.2,     9.1,    12.4,      13,
679,2010-11-06,,     5.4,    14.6,     6.7,    13.4,     5.3,     9.3,      11,
679,2010-11-07,,     5.4,    15.5,     2.5,     6.7,     2.4,     4.3,      10,
679,2010-11-08,,     5.2,    15.9,    -1.2,     2.9,    -1.2,     0.5,      17,
679,2010-11-09,,     5.2,    15.9,    -2.8,     1.9,    -2.9,    -1.7,      17,
679,2010-11-10,,     5.7,    16.3,    -1.8,    -1.3,    -2.9,    -2.1,      15,
679,2010-11-11,,     5.6,    16.4,    -2.8,     3.1,    -3.0,    -1.0,      16,
