DateTime,Above Ellensburg,Below Ellensburg,Above NACW,Below NACW,Mid Yakima
4/1/2000,4.9,0.64,1.25,3.28,2.04
4/2/2000,4.91,0.64,1.25,3.26,2.02
4/3/2000,4.91,0.64,1.25,3.23,2
4/4/2000,4.92,0.64,1.25,3.22,1.98
4/5/2000,4.92,0.64,1.25,3.18,1.95
4/6/2000,4.93,0.64,1.25,3.16,1.93
4/7/2000,4.93,0.64,1.25,3.14,1.91
4/8/2000,4.94,0.64,1.25,3.11,1.9
4/9/2000,4.94,0.64,1.25,3.08,1.88
4/10/2000,4.95,0.64,1.26,3.06,1.86
4/11/2000,4.95,0.64,1.26,3.02,1.85
4/12/2000,4.96,0.64,1.26,2.98,1.83
4/13/2000,4.96,0.65,1.26,2.96,1.82
4/14/2000,4.97,0.65,1.26,2.94,1.81
4/15/2000,4.98,0.65,1.26,2.9,1.8
4/16/2000,4.98,0.65,1.26,2.87,1.78
4/17/2000,4.99,0.65,1.26,2.84,1.77
4/18/2000,5,0.65,1.26,2.82,1.76
4/19/2000,5,0.65,1.26,2.77,1.75
4/20/2000,5.01,0.65,1.26,2.74,1.74
4/21/2000,5.02,0.65,1.27,2.72,1.73
4/22/2000,5.03,0.66,1.27,2.68,1.72
4/23/2000,5.03,0.66,1.27,2.66,1.71
4/24/2000,5.04,0.66,1.27,2.64,1.71
4/25/2000,5.05,0.66,1.27,2.62,1.7
4/26/2000,5.06,0.66,1.27,2.6,1.69
4/27/2000,5.07,0.66,1.27,2.57,1.69
4/28/2000,5.08,0.67,1.27,2.55,1.68
4/29/2000,5.09,0.67,1.28,2.53,1.68
4/30/2000,5.1,0.67,1.28,2.5,1.67
5/1/2000,5.11,0.67,1.28,2.48,1.67
5/2/2000,5.12,0.67,1.28,2.46,1.66
5/3/2000,5.13,0.68,1.28,2.44,1.66
5/4/2000,5.14,0.68,1.28,2.44,1.65
5/5/2000,5.15,0.68,1.28,2.42,1.65
5/6/2000,5.16,0.69,1.28,2.4,1.65
5/7/2000,5.17,0.69,1.29,2.39,1.64
5/8/2000,5.18,0.69,1.29,2.38,1.64
5/9/2000,5.19,0.7,1.29,2.36,1.64
5/10/2000,5.2,0.7,1.29,2.36,1.63
5/11/2000,5.21,0.7,1.29,2.35,1.63
5/12/2000,5.22,0.71,1.29,2.34,1.63
5/13/2000,5.23,0.71,1.3,2.33,1.63
5/14/2000,5.24,0.71,1.3,2.32,1.62
5/15/2000,5.25,0.72,1.3,2.32,1.62
5/16/2000,5.26,0.72,1.3,2.31,1.62
5/17/2000,5.27,0.73,1.3,2.3,1.62
